graph6,mean,variance_key,polynomial,n,m,degree_sequence,leaves,max_degree,diameter,radius
SpCGGG_O??_@?@??_?_?@?C???G??G??O,1.0665335070945086e+23,3.694092914557426e+46,"0,0,0,0,0,0,0,0,0,0,6,79,656,4091,20898,91394,353323,1233158,3949860,11751480,32793934,86498465,217015534,520608181,1199460214,2664049555,5722453355,11921205254,24144492290,47644298003,91775464647,172863174028,318858811468,576776789230,1024391536089,1788373847499,3072032263253,5197214088815,8666835060756,14257149809353,23152447194610,37139698725544,58887118516100,92339170900846,143271763577460,220066077777117,334778414072472,504607936201460,753895274054362,1116824636411498,1641051758561551,2392542626881623,3461985308576110,4973233557363883,7094358496895108,10052029386661838,14150119092788960,19793642211800981,27519387102136419,38034907617995986,52267899591822589,71428414246694107,97086858990505425,131271321973693415,176588432683594557,236372756945718397,314870621242746004,417465292465411006,550951601644242383,723869422163893957,946906885133267726,1233385869225583382,1599844121357702832,2066730383950629131,2659231093752965326,3408249615371003755,4351561532477102780,5535172282753938110,7014906319771408016,8858260059731819156,11146554026442071183,13977422889156489479,17467685364289521426,21756639270471192126,27009830216093003901,33423345509494664967,41228687697289265463,50698284711898802142,62151695676994171508,75962573045491517264,92566442605932374870,112469363073342378453,136257526100126455498,164607855712914897727,198299662966451341867,238227407158744018221,285414608783989513344,341028951722999091053,406398602449900566260,483029762559904420304,572625457123794016051,677105545644734867178,798627924134675765855,939610866564113452540,1102756431061069880860,1291074831421386233461,1507909647135282284207,1756963716094177964200,2042325522823358973278,2368495862553075888716,2740414527122091593796,3163486723886319519903,3643608902935902485178,4187193632517674965010,4801193127092860397181,5493120998668269186244,6271071769407078601087,7143737653998677810993,8120422093312502142210,9211049498604473992243,10426170647399461798843,11776963160400605862176,13275226482688300507631,14933370794406329729863,16764399285244561672746,18781883245660652908635,20999929454872151444454,23433139383465302026104,26096559775658531896926,29005624234940182792460,32176085505278225300619,35623938220249189442003,39365331982167527521151,43416474734178881330660,47793526497798248743780,52512483667723048330881,57589054181983988156644,63038524019406936150724,68875615614586298355789,75114338923498197548793,81767836016792088204411,88848220222690148229520,96366410983311327038965,104331965726789679331801,112752910188653570134930,121635568739000379033105,130984396382941338611202,140801814199903680471495,151088050068770280218575,161840986589818286913621,173056018157503954796068,184725919159789419113812,196840725277046099458161,209387629826348458410450,222350897043123119392791,235711794111806060626567,249448543649289267527176,263536298210180601005104,277947138221260350506277,292650094565228541196480,307611196822076501395325,322793547941977516638997,338157425868840728536875,353660412360903416766427,369257548967449055910570,384901519821607429693667,400542860602730607273404,416130192710924226597043,431610481386288442822496,446929316199145425144414,462031212040933568013748,476859928461109492291004,491358804929569193329821,505471109358794664457852,519140397001430533650466,532310876648473882364010,544927780896733478015144,556937737131768773854592,568289135789637569852836,578932492416251014460699,588820800041686882207044,597909868425789858252640,606158646814608501596126,613529526970516850603871,619988623405063081452851,625506027947024529041487,630056036020644579888293,633617342283554207725862,636173203581331437797107,637711567507823310008380,638225165217369604234498,637711567507823310008380,636173203581331437797107,633617342283554207725862,630056036020644579888293,625506027947024529041487,619988623405063081452851,613529526970516850603871,606158646814608501596126,597909868425789858252640,588820800041686882207044,578932492416251014460699,568289135789637569852836,556937737131768773854592,544927780896733478015144,532310876648473882364010,519140397001430533650466,505471109358794664457852,491358804929569193329821,476859928461109492291004,462031212040933568013748,446929316199145425144414,431610481386288442822496,416130192710924226597043,400542860602730607273404,384901519821607429693667,369257548967449055910570,353660412360903416766427,338157425868840728536875,322793547941977516638997,307611196822076501395325,292650094565228541196480,277947138221260350506277,263536298210180601005104,249448543649289267527176,235711794111806060626567,222350897043123119392791,209387629826348458410450,196840725277046099458161,184725919159789419113812,173056018157503954796068,161840986589818286913621,151088050068770280218575,140801814199903680471495,130984396382941338611202,121635568739000379033105,112752910188653570134930,104331965726789679331801,96366410983311327038965,88848220222690148229520,81767836016792088204411,75114338923498197548793,68875615614586298355789,63038524019406936150724,57589054181983988156644,52512483667723048330881,47793526497798248743780,43416474734178881330660,39365331982167527521151,35623938220249189442003,32176085505278225300619,29005624234940182792460,26096559775658531896926,23433139383465302026104,20999929454872151444454,18781883245660652908635,16764399285244561672746,14933370794406329729863,13275226482688300507631,11776963160400605862176,10426170647399461798843,9211049498604473992243,8120422093312502142210,7143737653998677810993,6271071769407078601087,5493120998668269186244,4801193127092860397181,4187193632517674965010,3643608902935902485178,3163486723886319519903,2740414527122091593796,2368495862553075888716,2042325522823358973278,1756963716094177964200,1507909647135282284207,1291074831421386233461,1102756431061069880860,939610866564113452540,798627924134675765855,677105545644734867178,572625457123794016051,483029762559904420304,406398602449900566260,341028951722999091053,285414608783989513344,238227407158744018221,198299662966451341867,164607855712914897727,136257526100126455498,112469363073342378453,92566442605932374870,75962573045491517264,62151695676994171508,50698284711898802142,41228687697289265463,33423345509494664967,27009830216093003901,21756639270471192126,17467685364289521426,13977422889156489479,11146554026442071183,8858260059731819156,7014906319771408016,5535172282753938110,4351561532477102780,3408249615371003755,2659231093752965326,2066730383950629131,1599844121357702832,1233385869225583382,946906885133267726,723869422163893957,550951601644242383,417465292465411006,314870621242746004,236372756945718397,176588432683594557,131271321973693415,97086858990505425,71428414246694107,52267899591822589,38034907617995986,27519387102136419,19793642211800981,14150119092788960,10052029386661838,7094358496895108,4973233557363883,3461985308576110,2392542626881623,1641051758561551,1116824636411498,753895274054362,504607936201460,334778414072472,220066077777117,143271763577460,92339170900846,58887118516100,37139698725544,23152447194610,14257149809353,8666835060756,5197214088815,3072032263253,1788373847499,1024391536089,576776789230,318858811468,172863174028,91775464647,47644298003,24144492290,11921205254,5722453355,2664049555,1199460214,520608181,217015534,86498465,32793934,11751480,3949860,1233158,353323,91394,20898,4091,656,79,6",20,19,"(3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,3,11,6
SpCGGG__??g??@??_?G?@??C??_?G???C,1.0665335070945086e+23,3.694092914557426e+46,"0,0,0,0,0,0,0,0,0,0,6,79,665,4144,21122,92103,355307,1238001,3960793,11774377,32839290,86583553,217169319,520875378,1199910168,2664786070,5723629612,11923039933,24147299036,47648511397,91781684710,172872215597,318871771753,576795118960,1024417152406,1788409236539,3072080635887,5197279545882,8666922804231,14257266361326,23152600709755,37139899273476,58887378473685,92339505359447,143272190831548,220066619801486,334779097182816,504608791619278,753896338651070,1116825953448047,1641053378524355,2392544608252508,3461987718871283,4973236473923686,7094362007912115,10052033592125473,14150124105494267,19793648158129169,27519394123201288,38034915870264742,52267909247985412,71428425496317162,97086872040643726,131271337049030551,176588450027073636,236372776818236938,314870643923118762,417465318249998448,550951630846411218,723869455112730271,946906922173054382,1233385910713916839,1599844167663991404,2066730435454284708,2659231150841408171,3408249678436739654,4351561601916120377,5535172358962389988,7014906403142968156,8858260150655050745,11146554125297714672,13977422996313753947,17467685480104595647,21756639395283710512,27009830350223615089,33423345653243102487,41228687850932481439,50698284875687943133,62151695851154839649,75962573230221425039,92566442801400352006,112469363279688292190,136257526317461050463,164607855941317815781,198299663205973422117,238227407409405859047,285414609045781197422,341028951995880890782,406398602733802983657,483029762854725091113,572625457429399788465,677105545960958401631,798627924461312799222,939610866900920937731,1102756431407762786442,1291074831777629517095,1507909647500689382832,1756963716468302079609,2042325523205684782791,2368495862943012643049,2740414527518964931888,3163486724289357176474,3643608903344229231591,4187193632930299374341,4801193127508662939847,5493120999085993483714,6271071769825322846824,7143737654415879772249,8120422093726937680151,9211049499014247629576,10426170647802500522694,11776963160794659060025,13275226483070942486295,14933370794774955841003,16764399285596403019528,18781883245992783518834,20999929455181500154038,23433139383748673364303,26096559775912631147392,29005624235161633508364,32176085505463609006935,35623938220395076741899,39365331982270512897374,43416474734235627852757,47793526497805535781127,52512483667677807892823,57589054181883363792674,63038524019248329849630,68875615614367416184313,75114338923217103760693,81767836016447257854296,88848220222280502156814,96366410982836286746838,104331965726249204974424,112752910188048189646191,121635568738331223635445,130984396382210170699459,140801814199112897954863,151088050067922937172691,161840986588918094438279,173056018156555265442221,184725919158797218281337,196840725276015984843553,209387629825286593554102,222350897042036202293388,235711794110701274608062,249448543648174211212302,263536298209063231156930,277947138220148912372670,292650094564131476414170,307611196821002373400960,322793547940934926323423,338157425867838208379394,353660412359949348586928,369257548966551579419716,384901519820774336516707,400542860601969257192545,416130192710241465832863,431610481385690501895760,446929316198637852984906,462031212040521161016416,476859928460796217506054,491358804929358137943304,505471109358687998395737,519140397001429451575885,532310876648578591903246,544927780896943184788305,556937737132081666241786,568289135790050829999500,578932492416760849437590,588820800042288530695706,597909868426477647591037,606158646815375899540675,613529526971356516715009,619988623405966940242437,625506027947983864223877,630056036021650096641879,633617342284596143088754,636173203582399660187123,637711567508907413173071,638225165218459014998122,637711567508907413173071,636173203582399660187123,633617342284596143088754,630056036021650096641879,625506027947983864223877,619988623405966940242437,613529526971356516715009,606158646815375899540675,597909868426477647591037,588820800042288530695706,578932492416760849437590,568289135790050829999500,556937737132081666241786,544927780896943184788305,532310876648578591903246,519140397001429451575885,505471109358687998395737,491358804929358137943304,476859928460796217506054,462031212040521161016416,446929316198637852984906,431610481385690501895760,416130192710241465832863,400542860601969257192545,384901519820774336516707,369257548966551579419716,353660412359949348586928,338157425867838208379394,322793547940934926323423,307611196821002373400960,292650094564131476414170,277947138220148912372670,263536298209063231156930,249448543648174211212302,235711794110701274608062,222350897042036202293388,209387629825286593554102,196840725276015984843553,184725919158797218281337,173056018156555265442221,161840986588918094438279,151088050067922937172691,140801814199112897954863,130984396382210170699459,121635568738331223635445,112752910188048189646191,104331965726249204974424,96366410982836286746838,88848220222280502156814,81767836016447257854296,75114338923217103760693,68875615614367416184313,63038524019248329849630,57589054181883363792674,52512483667677807892823,47793526497805535781127,43416474734235627852757,39365331982270512897374,35623938220395076741899,32176085505463609006935,29005624235161633508364,26096559775912631147392,23433139383748673364303,20999929455181500154038,18781883245992783518834,16764399285596403019528,14933370794774955841003,13275226483070942486295,11776963160794659060025,10426170647802500522694,9211049499014247629576,8120422093726937680151,7143737654415879772249,6271071769825322846824,5493120999085993483714,4801193127508662939847,4187193632930299374341,3643608903344229231591,3163486724289357176474,2740414527518964931888,2368495862943012643049,2042325523205684782791,1756963716468302079609,1507909647500689382832,1291074831777629517095,1102756431407762786442,939610866900920937731,798627924461312799222,677105545960958401631,572625457429399788465,483029762854725091113,406398602733802983657,341028951995880890782,285414609045781197422,238227407409405859047,198299663205973422117,164607855941317815781,136257526317461050463,112469363279688292190,92566442801400352006,75962573230221425039,62151695851154839649,50698284875687943133,41228687850932481439,33423345653243102487,27009830350223615089,21756639395283710512,17467685480104595647,13977422996313753947,11146554125297714672,8858260150655050745,7014906403142968156,5535172358962389988,4351561601916120377,3408249678436739654,2659231150841408171,2066730435454284708,1599844167663991404,1233385910713916839,946906922173054382,723869455112730271,550951630846411218,417465318249998448,314870643923118762,236372776818236938,176588450027073636,131271337049030551,97086872040643726,71428425496317162,52267909247985412,38034915870264742,27519394123201288,19793648158129169,14150124105494267,10052033592125473,7094362007912115,4973236473923686,3461987718871283,2392544608252508,1641053378524355,1116825953448047,753896338651070,504608791619278,334779097182816,220066619801486,143272190831548,92339505359447,58887378473685,37139899273476,23152600709755,14257266361326,8666922804231,5197279545882,3072080635887,1788409236539,1024417152406,576795118960,318871771753,172872215597,91781684710,47648511397,24147299036,11923039933,5723629612,2664786070,1199910168,520875378,217169319,86583553,32839290,11774377,3960793,1238001,355307,92103,21122,4144,665,79,6",20,19,"(3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,3,12,6
