graph6,polynomial
LpCGI?@?G?_@?@,"0,0,0,0,0,0,1,7,57,304,1275,4518,14063,39316,100913,240579,539578,1146550,2326470,4529575,8505633,15456502,27277384,46863700,78575085,128803862,206796448,325625494,503538172,765495703,1145234002,1687522052,2451086056,3511676033,4965903325,6935046709,9569680812,13053912051,17610388167,23504356179,31048303989,40604860749,52590003057,67473486243,85779278443,108082079911,135003567364,167203616865,205371256280,250209596192,302420980509,362685515749,431640835832,509855234310,597803812396,695838456230,804163419798,922805750478,1051594314912,1190135117701,1337798470740,1493703696124,1656718879134,1825458945492,1998301127300,2173398831035,2348714102569,2522047164241,2691084614701,2853442015324,3006723587070,3148572725243,3276736845819,3389118536253,3483837869537,3559276317873,3614128414463,3647431231839,3658598730648,3647431231839,3614128414463,3559276317873,3483837869537,3389118536253,3276736845819,3148572725243,3006723587070,2853442015324,2691084614701,2522047164241,2348714102569,2173398831035,1998301127300,1825458945492,1656718879134,1493703696124,1337798470740,1190135117701,1051594314912,922805750478,804163419798,695838456230,597803812396,509855234310,431640835832,362685515749,302420980509,250209596192,205371256280,167203616865,135003567364,108082079911,85779278443,67473486243,52590003057,40604860749,31048303989,23504356179,17610388167,13053912051,9569680812,6935046709,4965903325,3511676033,2451086056,1687522052,1145234002,765495703,503538172,325625494,206796448,128803862,78575085,46863700,27277384,15456502,8505633,4529575,2326470,1146550,539578,240579,100913,39316,14063,4518,1275,304,57,7,1"
LpCGI?@?G?_@?A,"0,0,0,0,0,0,1,17,89,430,1629,5512,16367,44626,111785,262489,580566,1221704,2457340,4753311,8873527,16051098,28209924,48302544,80741443,132016738,211463386,332310322,512942234,778552771,1163075010,1711601894,2483116540,3553790109,5020536869,7005138899,9658482766,13165222739,17748256905,23673358531,31253104223,40850528367,52881410225,67815674003,86176661815,108538896121,135522872876,167787853641,206021053524,250924507336,303198105099,363520489561,432526298660,510782148902,598759829106,696809624520,805132479944,923754306920,1052501057122,1190978475627,1338554767504,1494350252064,1657232047244,1825817615186,1998484546222,2173390403915,2348498914795,2521615923509,2690430776811,2852565749738,3005628399844,3147269334381,3275239278623,3387447811241,3482017593015,3557336161843,3612099272571,3645348532435,3656497310032,3645348532435,3612099272571,3557336161843,3482017593015,3387447811241,3275239278623,3147269334381,3005628399844,2852565749738,2690430776811,2521615923509,2348498914795,2173390403915,1998484546222,1825817615186,1657232047244,1494350252064,1338554767504,1190978475627,1052501057122,923754306920,805132479944,696809624520,598759829106,510782148902,432526298660,363520489561,303198105099,250924507336,206021053524,167787853641,135522872876,108538896121,86176661815,67815674003,52881410225,40850528367,31253104223,23673358531,17748256905,13165222739,9658482766,7005138899,5020536869,3553790109,2483116540,1711601894,1163075010,778552771,512942234,332310322,211463386,132016738,80741443,48302544,28209924,16051098,8873527,4753311,2457340,1221704,580566,262489,111785,44626,16367,5512,1629,430,89,17,1"
LpCGI?@?G?_@?C,"0,0,0,0,0,0,1,9,65,340,1419,4950,15233,42152,107251,253811,565776,1195900,2415762,4685565,8769469,15890402,27972876,47952764,80243433,131309488,210488744,330971788,511150712,776166119,1159965378,1707571640,2477996974,3547321521,5012512947,6995241949,9646480578,13150752453,17731089455,23653108451,31229585985,40823375825,52850529885,67780766735,86137791031,108495875347,135475983064,167737072951,205966923652,250867203256,303138466897,363458887105,432463873740,510719450744,598698257710,696749853870,805076112436,923702041226,1052454607076,1190938467099,1338522898342,1494326962922,1657218915648,1825814767520,1998493339794,2173410573021,2348531494271,2521660203627,2690487433199,2852633585728,3005707727278,3147358503601,3275338238529,3387554526611,3482131720339,3557455345741,3612222971317,3645474197141,3656624276052,3645474197141,3612222971317,3557455345741,3482131720339,3387554526611,3275338238529,3147358503601,3005707727278,2852633585728,2690487433199,2521660203627,2348531494271,2173410573021,1998493339794,1825814767520,1657218915648,1494326962922,1338522898342,1190938467099,1052454607076,923702041226,805076112436,696749853870,598698257710,510719450744,432463873740,363458887105,303138466897,250867203256,205966923652,167737072951,135475983064,108495875347,86137791031,67780766735,52850529885,40823375825,31229585985,23653108451,17731089455,13150752453,9646480578,6995241949,5012512947,3547321521,2477996974,1707571640,1159965378,776166119,511150712,330971788,210488744,131309488,80243433,47952764,27972876,15890402,8769469,4685565,2415762,1195900,565776,253811,107251,42152,15233,4950,1419,340,65,9,1"
LpCGI?@?G?_@?G,"0,0,0,0,0,0,1,15,83,406,1547,5286,15821,43378,109257,257523,571444,1205526,2429922,4707897,8801117,15937790,28037684,48045430,80366521,131478616,210706926,331261770,511514864,776635395,1160540092,1708291592,2478857368,3548372169,5013738731,6996702341,9648145942,13152690501,17733248443,23655565619,31232259457,40826351385,52853690723,67784207577,86141353153,108499668357,135479800428,167741043709,205970795550,250871130158,303142148919,363462518053,432467106758,510722526884,598700791560,696752141888,805077732012,923703358264,1052455160982,1190938695679,1338522312296,1494326068958,1657217191054,1825812794452,1998490556194,2173407624655,2348527786329,2521656433231,2690482965811,2852629167634,3005702678692,3147353605397,3275332778845,3387549304023,3482125990475,3557449928863,3612217094013,3645468687431,3656618353596,3645468687431,3612217094013,3557449928863,3482125990475,3387549304023,3275332778845,3147353605397,3005702678692,2852629167634,2690482965811,2521656433231,2348527786329,2173407624655,1998490556194,1825812794452,1657217191054,1494326068958,1338522312296,1190938695679,1052455160982,923703358264,805077732012,696752141888,598700791560,510722526884,432467106758,363462518053,303142148919,250871130158,205970795550,167741043709,135479800428,108499668357,86141353153,67784207577,52853690723,40826351385,31232259457,23655565619,17733248443,13152690501,9648145942,6996702341,5013738731,3548372169,2478857368,1708291592,1160540092,776635395,511514864,331261770,210706926,131478616,80366521,48045430,28037684,15937790,8801117,4707897,2429922,1205526,571444,257523,109257,43378,15821,5286,1547,406,83,15,1"
LpCGI?@?G?_@?O,"0,0,0,0,0,0,1,11,71,362,1475,5094,15537,42798,108415,255993,569402,1202024,2425384,4700731,8792013,15924236,28021092,48021608,80338227,131439740,210661736,331201816,511447228,776547847,1160444350,1708171004,2478728780,3548214075,5013575597,6996504931,9647949472,13152456655,17733023771,23655302051,31232017843,40826068761,52853446767,67783921719,86141123661,108499396461,135479605776,167740801911,205970653608,250870934954,303142073365,363462380719,432467108568,510722450904,598700874584,696752128452,805077891262,923703401014,1052455389792,1190938781197,1338522598692,1494326185404,1657217517646,1825812927818,1998490910026,2173407758899,2348528155381,2521656559833,2690483336079,2852629280930,3005703045832,3147353699143,3275333140275,3387549380853,3482126342573,3557449994553,3612217440697,3645468744103,3656618700164,3645468744103,3612217440697,3557449994553,3482126342573,3387549380853,3275333140275,3147353699143,3005703045832,2852629280930,2690483336079,2521656559833,2348528155381,2173407758899,1998490910026,1825812927818,1657217517646,1494326185404,1338522598692,1190938781197,1052455389792,923703401014,805077891262,696752128452,598700874584,510722450904,432467108568,363462380719,303142073365,250870934954,205970653608,167740801911,135479605776,108499396461,86141123661,67783921719,52853446767,40826068761,31232017843,23655302051,17733023771,13152456655,9647949472,6996504931,5013575597,3548214075,2478728780,1708171004,1160444350,776547847,511447228,331201816,210661736,131439740,80338227,48021608,28021092,15924236,8792013,4700731,2425384,1202024,569402,255993,108415,42798,15537,5094,1475,362,71,11,1"
LpCGI?@?G?_@O?,"0,0,0,0,0,0,1,13,77,384,1507,5182,15647,43026,108711,256525,570020,1203140,2426600,4702761,8794249,15927652,28024654,48027104,80343569,131447696,210669408,331212796,511457182,776562429,1160456440,1708188890,2478742866,3548234861,5013590309,6996528645,9647963310,13152481573,17733035943,23655327037,31232025617,40826093653,52853448259,67783944805,86141118797,108499416863,135479592378,167740821523,205970630544,250870952728,303142043069,363462397269,432467069618,510722469992,598700827240,696752149672,805077839194,923703424466,1052455332058,1190938811677,1338522534612,1494326221116,1657217452098,1825812967714,1998490840554,2173407807017,2348528081001,2521656613235,2690483261403,2852629336952,3005702968870,3147353761907,3275333058621,3387549446459,3482126262381,3557450059725,3612217359313,3645468813029,3656618616056,3645468813029,3612217359313,3557450059725,3482126262381,3387549446459,3275333058621,3147353761907,3005702968870,2852629336952,2690483261403,2521656613235,2348528081001,2173407807017,1998490840554,1825812967714,1657217452098,1494326221116,1338522534612,1190938811677,1052455332058,923703424466,805077839194,696752149672,598700827240,510722469992,432467069618,363462397269,303142043069,250870952728,205970630544,167740821523,135479592378,108499416863,86141118797,67783944805,52853448259,40826093653,31232025617,23655327037,17733035943,13152481573,9647963310,6996528645,5013590309,3548234861,2478742866,1708188890,1160456440,776562429,511457182,331212796,210669408,131447696,80343569,48027104,28024654,15927652,8794249,4702761,2426600,1203140,570020,256525,108711,43026,15647,5182,1507,384,77,13,1"
LpCGOP??G?_@?@,"0,0,0,0,0,1,5,35,166,682,2389,7488,21123,55183,133838,306092,663018,1371359,2719604,5198925,9609329,17235767,30072935,51170251,85067121,138421844,220780360,345640998,531715386,804598846,1198693462,1759649655,2547073014,3637846839,5129644865,7145078216,9835863883,13387515059,18023708508,24010952119,31662368309,41341391264,53463872328,68499555149,86971120917,109452077172,136561299448,168956006735,207320683983,252354232920,304752714483,365190653985,434297989924,512636577131,600673079296,698752954348,807072261712,925652757113,1054316559021,1192666755375,1340069573887,1495644956645,1658260576449,1826536331071,1998853294059,2173374459294,2348069908808,2520753648020,2689123732638,2850812557435,3003437795402,3144660979820,3272243049272,3384103944143,3478375216677,3553452781185,3608038672975,3641179719652,3652291974508,3641179719652,3608038672975,3553452781185,3478375216677,3384103944143,3272243049272,3144660979820,3003437795402,2850812557435,2689123732638,2520753648020,2348069908808,2173374459294,1998853294059,1826536331071,1658260576449,1495644956645,1340069573887,1192666755375,1054316559021,925652757113,807072261712,698752954348,600673079296,512636577131,434297989924,365190653985,304752714483,252354232920,207320683983,168956006735,136561299448,109452077172,86971120917,68499555149,53463872328,41341391264,31662368309,24010952119,18023708508,13387515059,9835863883,7145078216,5129644865,3637846839,2547073014,1759649655,1198693462,804598846,531715386,345640998,220780360,138421844,85067121,51170251,30072935,17235767,9609329,5198925,2719604,1371359,663018,306092,133838,55183,21123,7488,2389,682,166,35,5,1"
LpCGO`??G?_@?@,"0,0,0,0,0,0,1,10,82,403,1620,5532,16688,45557,114549,268851,594691,1249951,2511947,4852522,9048667,16347705,28699845,49087286,81971418,133897550,214285468,336457767,518934925,787057917,1174961561,1727951606,2505290605,3583430980,5059642511,7056047097,9723941624,13248343076,17852569689,23802714809,31411708432,41042770755,53111860242,68088835589,86496926709,108910211832,135948669433,168270638098,206562324553,251524309570,303854975357,364231003731,433285109447,511581580369,599590053181,697658369364,805985397656,924594821288,1053310968825,1191737968335,1339243235184,1494946461010,1657715147324,1826167385559,1998682531905,2173420151950,2348347112862,2521272537521,2689890065908,2851826177264,3004693444456,3146147080487,3273942926558,3385994928669,3480430293326,3555640012709,3610323202080,3643523454713,3654655833806,3643523454713,3610323202080,3555640012709,3480430293326,3385994928669,3273942926558,3146147080487,3004693444456,2851826177264,2689890065908,2521272537521,2348347112862,2173420151950,1998682531905,1826167385559,1657715147324,1494946461010,1339243235184,1191737968335,1053310968825,924594821288,805985397656,697658369364,599590053181,511581580369,433285109447,364231003731,303854975357,251524309570,206562324553,168270638098,135948669433,108910211832,86496926709,68088835589,53111860242,41042770755,31411708432,23802714809,17852569689,13248343076,9723941624,7056047097,5059642511,3583430980,2505290605,1727951606,1174961561,787057917,518934925,336457767,214285468,133897550,81971418,49087286,28699845,16347705,9048667,4852522,2511947,1249951,594691,268851,114549,45557,16688,5532,1620,403,82,10,1"
LpCGP@??G?_@?@,"0,0,0,0,0,1,5,33,144,596,2073,6604,18839,49941,122506,283298,619136,1290987,2577398,4956071,9206145,16585037,29046575,49588611,82678235,134884080,215632488,338279410,521351934,790234202,1179065746,1733205871,2511913408,3591704985,5069831663,7068485438,9738922757,13266233173,17873659324,23827369667,31440172503,41075359148,53148716106,68130168985,86542714495,108960504774,136003219996,168329283827,206624551611,251589712550,303922746231,364300495823,433355230668,511651467227,599658380922,697724123470,806047092194,924651394121,1053360878509,1191780213757,1339276349685,1494969626495,1657727084843,1826167585817,1998670008879,2173394788568,2348308307514,2521220621514,2689824857182,2851748488589,3004603514164,3146046171902,3273831678670,3385874991849,3480302631039,3555506587325,3610185201379,3643383032150,3654514305604,3643383032150,3610185201379,3555506587325,3480302631039,3385874991849,3273831678670,3146046171902,3004603514164,2851748488589,2689824857182,2521220621514,2348308307514,2173394788568,1998670008879,1826167585817,1657727084843,1494969626495,1339276349685,1191780213757,1053360878509,924651394121,806047092194,697724123470,599658380922,511651467227,433355230668,364300495823,303922746231,251589712550,206624551611,168329283827,136003219996,108960504774,86542714495,68130168985,53148716106,41075359148,31440172503,23827369667,17873659324,13266233173,9738922757,7068485438,5069831663,3591704985,2511913408,1733205871,1179065746,790234202,521351934,338279410,215632488,134884080,82678235,49588611,29046575,16585037,9206145,4956071,2577398,1290987,619136,283298,122506,49941,18839,6604,2073,596,144,33,5,1"
LpCGS@??G?_@?@,"0,0,0,0,0,0,1,12,96,453,1796,5981,17744,47823,119072,277307,609957,1276155,2555596,4922924,9159352,16517072,28953900,49459627,82507542,134654808,215337935,337895786,520872026,789627131,1178324914,1732293340,2510826605,3590398500,5068311786,7066701507,9736893254,13263904570,17871070212,23824463269,31437013997,41071891496,53145033958,68126215550,86538620051,108956206724,135998887731,168324846583,206620212388,251585387490,303918673083,364296562014,433351705398,511648204508,599655669981,697721777510,806045419308,924650151963,1053360394393,1191780190225,1339277121598,1494970845016,1657729099490,1826169988265,1998673170338,2173398254896,2348312464078,2521224980395,2689829828422,2851753549021,3004609106646,3146051752461,3273837709327,3385880923524,3480308950043,3555512729620,3610191677609,3643389275698,3654520829626,3643389275698,3610191677609,3555512729620,3480308950043,3385880923524,3273837709327,3146051752461,3004609106646,2851753549021,2689829828422,2521224980395,2348312464078,2173398254896,1998673170338,1826169988265,1657729099490,1494970845016,1339277121598,1191780190225,1053360394393,924650151963,806045419308,697721777510,599655669981,511648204508,433351705398,364296562014,303918673083,251585387490,206620212388,168324846583,135998887731,108956206724,86538620051,68126215550,53145033958,41071891496,31437013997,23824463269,17871070212,13263904570,9736893254,7066701507,5068311786,3590398500,2510826605,1732293340,1178324914,789627131,520872026,337895786,215337935,134654808,82507542,49459627,28953900,16517072,9159352,4922924,2555596,1276155,609957,277307,119072,47823,17744,5981,1796,453,96,12,1"
