graph6,polynomial
KpCKA?@?G?_@,"0,0,0,0,0,0,2,23,140,588,2080,6338,17318,43276,100430,218963,452529,892611,1690276,3086786,5456768,9367188,15655176,25527657,40690420,63500691,97158235,145917979,215345739,312578166,446629238,628658697,872286047,1193799342,1612403309,2150264815,2832600032,3687431693,4745412600,6039172202,7602796339,9470681890,11676656822,14252333573,17225953809,20620341314,24451660430,28727195913,33444330020,38588451421,44132540925,50035561803,56243004789,62686090722,69283535970,75941727968,82557822949,89020861700,95216024179,101026456495,106338279260,111042629941,115040873196,118246271121,120588710971,122015457804,122494809976,122015457804,120588710971,118246271121,115040873196,111042629941,106338279260,101026456495,95216024179,89020861700,82557822949,75941727968,69283535970,62686090722,56243004789,50035561803,44132540925,38588451421,33444330020,28727195913,24451660430,20620341314,17225953809,14252333573,11676656822,9470681890,7602796339,6039172202,4745412600,3687431693,2832600032,2150264815,1612403309,1193799342,872286047,628658697,446629238,312578166,215345739,145917979,97158235,63500691,40690420,25527657,15655176,9367188,5456768,3086786,1690276,892611,452529,218963,100430,43276,17318,6338,2080,588,140,23,2"
KpCKA?@?G?_A,"0,0,0,0,0,1,9,47,209,781,2540,7386,19534,47723,108832,234331,479317,938070,1764664,3205782,5641400,9648293,16072001,26135338,41556292,64715471,98827979,148180657,218355002,316527161,451722160,635143475,880408442,1203847874,1624639476,2164984825,2850035161,3707832605,4768914576,6065910848,7632732760,9503760569,11712587771,14290803885,17266365147,20662087357,24493817361,28768876962,33484326531,38625671421,44165596980,50063294946,56264013255,62699335409,69287802046,75936302418,82541881182,88994202497,95178376499,100978255560,106279891686,110975156641,114965298624,118164280308,120501777674,121925667115,122403905600,121925667115,120501777674,118164280308,114965298624,110975156641,106279891686,100978255560,95178376499,88994202497,82541881182,75936302418,69287802046,62699335409,56264013255,50063294946,44165596980,38625671421,33484326531,28768876962,24493817361,20662087357,17266365147,14290803885,11712587771,9503760569,7632732760,6065910848,4768914576,3707832605,2850035161,2164984825,1624639476,1203847874,880408442,635143475,451722160,316527161,218355002,148180657,98827979,64715471,41556292,26135338,16072001,9648293,5641400,3205782,1764664,938070,479317,234331,108832,47723,19534,7386,2540,781,209,47,9,1"
KpCKA?@?G?_C,"0,0,0,0,0,0,2,24,148,634,2230,6767,18377,45618,105275,228341,469798,923032,1742033,3171781,5592574,9578073,15975068,26001421,41377814,64477521,98521149,147784552,217859717,315907084,450968760,634227244,879326203,1202567424,1623168414,2163291212,2848141986,3705711603,4766610416,6063399193,7630085556,9500958511,11709730352,14287876094,17263494913,20659256151,24491180125,28766405865,33482194010,38623833749,44164238212,50062342156,56263656758,62699467584,69288607206,75937635963,82543918664,88996754850,95181610681,100981942810,106284183411,110979793126,114970420442,118169597922,120507427201,121931342375,122409734982,121931342375,120507427201,118169597922,114970420442,110979793126,106284183411,100981942810,95181610681,88996754850,82543918664,75937635963,69288607206,62699467584,56263656758,50062342156,44164238212,38623833749,33482194010,28766405865,24491180125,20659256151,17263494913,14287876094,11709730352,9500958511,7630085556,6063399193,4766610416,3705711603,2848141986,2163291212,1623168414,1202567424,879326203,634227244,450968760,315907084,217859717,147784552,98521149,64477521,41377814,26001421,15975068,9578073,5592574,3171781,1742033,923032,469798,228341,105275,45618,18377,6767,2230,634,148,24,2"
KpCKA?@?G?_G,"0,0,0,0,0,1,9,47,211,773,2522,7316,19336,47281,107918,232545,476093,932522,1755388,3190960,5618366,9613529,16020825,26061952,41453118,64573779,98636799,147927783,218026094,316107031,451193720,634489977,879612078,1202892696,1623510136,2163669867,2848525473,3706125417,4767011470,6063821770,7630473558,9501356479,11710070677,14288215371,17263752533,20659505991,24491326733,28766541564,33482211909,38623843603,44164119296,50062226912,56263407725,62699236637,69288244962,75937309694,82543464118,88996357903,95181089389,100981496086,106283619500,110979317067,114969829516,118169107990,120506823876,121930845213,122409129124,121930845213,120506823876,118169107990,114969829516,110979317067,106283619500,100981496086,95181089389,88996357903,82543464118,75937309694,69288244962,62699236637,56263407725,50062226912,44164119296,38623843603,33482211909,28766541564,24491326733,20659505991,17263752533,14288215371,11710070677,9501356479,7630473558,6063821770,4767011470,3706125417,2848525473,2163669867,1623510136,1202892696,879612078,634489977,451193720,316107031,218026094,147927783,98636799,64573779,41453118,26061952,16020825,9613529,5618366,3190960,1755388,932522,476093,232545,107918,47281,19336,7316,2522,773,211,47,9,1"
KpCKA?@?G?g?,"0,0,0,0,0,0,2,24,140,612,2152,6582,17964,44780,103664,225468,464820,914808,1728848,3151286,5561558,9532416,15909188,25908594,41249626,64303800,98289952,147482396,217470948,315415246,450356134,633475386,878417190,1201484706,1621896544,2161818676,2846461284,3703819912,4764511926,6061105658,7627615180,9498339278,11706998804,14285075700,17260678208,20656482618,24488512834,28763913690,33479947780,38621901810,44162688608,50061238226,56263052726,62699411020,69289135310,75938770744,82545671972,88999124574,95184577680,100985476560,106288240396,110984313836,114975338012,118174835526,120512897338,121936954748,122415396396,121936954748,120512897338,118174835526,114975338012,110984313836,106288240396,100985476560,95184577680,88999124574,82545671972,75938770744,69289135310,62699411020,56263052726,50061238226,44162688608,38621901810,33479947780,28763913690,24488512834,20656482618,17260678208,14285075700,11706998804,9498339278,7627615180,6061105658,4764511926,3703819912,2846461284,2161818676,1621896544,1201484706,878417190,633475386,450356134,315415246,217470948,147482396,98289952,64303800,41249626,25908594,15909188,9532416,5561558,3151286,1728848,914808,464820,225468,103664,44780,17964,6582,2152,612,140,24,2"
KpCI?C@?G?g?,"0,0,0,0,0,1,5,34,151,627,2108,6428,17372,43477,100518,219344,452678,893267,1690438,3087818,5456924,9368681,15655241,25529795,40690158,63503540,97157498,145921538,215344177,312582787,446626320,628664440,872281637,1193806164,1612396833,2150273404,2832590817,3687442196,4745400900,6039184614,7602781477,9470697359,11676638071,14252352176,17225932044,20620362819,24451634925,28727221795,33444299989,38588481254,44132507845,50035594827,56242968000,62686128499,69283494726,75941769318,82557779389,89020905309,95215977802,101026503957,106338229404,111042679526,115040822662,118246321089,120588659375,122015509673,122494756852,122015509673,120588659375,118246321089,115040822662,111042679526,106338229404,101026503957,95215977802,89020905309,82557779389,75941769318,69283494726,62686128499,56242968000,50035594827,44132507845,38588481254,33444299989,28727221795,24451634925,20620362819,17225932044,14252352176,11676638071,9470697359,7602781477,6039184614,4745400900,3687442196,2832590817,2150273404,1612396833,1193806164,872281637,628664440,446626320,312582787,215344177,145921538,97157498,63503540,40690158,25529795,15655241,9368681,5456924,3087818,1690438,893267,452678,219344,100518,43477,17372,6428,2108,627,151,34,5,1"
KpCI?C@?G@?C,"0,0,0,0,0,1,13,61,279,963,3056,8545,22103,52811,118689,252100,510655,990728,1851211,3343095,5854842,9970790,16550289,26828121,42542370,66091016,100715898,150725411,221733611,320939493,457401662,642343237,889408935,1214936396,1638116564,2181134715,2869128357,3730091990,4794512604,6094931609,7665171178,9539481906,11751328913,14332143515,17309727652,20706725614,24538832130,28813213013,33526804949,38665013018,44200460250,50092319628,56285872089,62712785959,69291736978,75929815523,82524297666,88965140335,95137762960,100926364820,106217329973,110902887335,114884583880,118076682142,120409078933,121829841866,122307018442,121829841866,120409078933,118076682142,114884583880,110902887335,106217329973,100926364820,95137762960,88965140335,82524297666,75929815523,69291736978,62712785959,56285872089,50092319628,44200460250,38665013018,33526804949,28813213013,24538832130,20706725614,17309727652,14332143515,11751328913,9539481906,7665171178,6094931609,4794512604,3730091990,2869128357,2181134715,1638116564,1214936396,889408935,642343237,457401662,320939493,221733611,150725411,100715898,66091016,42542370,26828121,16550289,9970790,5854842,3343095,1851211,990728,510655,252100,118689,52811,22103,8545,3056,963,279,61,13,1"
KpCI?C@?G@?G,"0,0,0,0,0,0,4,30,158,658,2260,6814,18414,45682,105242,228308,469474,922606,1740880,3170236,5589452,9574126,15968116,25992804,41364162,64461062,98496670,147756106,217819426,315861468,450907204,634159572,879237828,1202473546,1623049104,2163168296,2847990382,3705560394,4766427454,6063224456,7629877350,9500768144,11709507264,14287683100,17263269954,20659077402,24490970620,28766258418,33482018956,38623736664,44164113790,50062313378,56263599454,62699518832,69288629024,75937776268,82544023442,88996986584,95181797552,100982258006,106284445408,110980179820,114970739768,118170037356,120507784086,121931807704,122410105856,121931807704,120507784086,118170037356,114970739768,110980179820,106284445408,100982258006,95181797552,88996986584,82544023442,75937776268,69288629024,62699518832,56263599454,50062313378,44164113790,38623736664,33482018956,28766258418,24490970620,20659077402,17263269954,14287683100,11709507264,9500768144,7629877350,6063224456,4766427454,3705560394,2847990382,2163168296,1623049104,1202473546,879237828,634159572,450907204,315861468,217819426,147756106,98496670,64461062,41364162,25992804,15968116,9574126,5589452,3170236,1740880,922606,469474,228308,105242,45682,18414,6814,2260,658,158,30,4"
KpCI?C@?G@?O,"0,0,0,0,0,1,11,53,237,831,2680,7630,20004,48499,110176,236343,482553,942740,1771568,3215352,5654852,9666107,16095947,26165984,41595724,64764381,98888733,148253501,218442496,316629005,451840508,635277237,880559178,1204013102,1624820044,2165176861,2850238233,3708041691,4769128224,6066122920,7632941158,9503958691,11712773019,14290970057,17266509799,20662205279,24493906787,28768934388,33484351151,38625661825,44165553378,50063218192,56263904267,62699197073,69287635794,75936112598,82541668956,88993973433,95178130791,100977999206,106279624092,110974883467,114965018108,118163998184,120501490892,121925381125,122403617100,121925381125,120501490892,118163998184,114965018108,110974883467,106279624092,100977999206,95178130791,88993973433,82541668956,75936112598,69287635794,62699197073,56263904267,50063218192,44165553378,38625661825,33484351151,28768934388,24493906787,20662205279,17266509799,14290970057,11712773019,9503958691,7632941158,6066122920,4769128224,3708041691,2850238233,2165176861,1624820044,1204013102,880559178,635277237,451840508,316629005,218442496,148253501,98888733,64764381,41595724,26165984,16095947,9666107,5654852,3215352,1771568,942740,482553,236343,110176,48499,20004,7630,2680,831,237,53,11,1"
KpCI?C@?G@G?,"0,0,0,0,0,0,6,36,190,732,2468,7242,19322,47368,108336,233548,478304,936566,1762734,3203150,5638186,9643992,16067010,26128984,41549032,64706632,98818334,148169068,218342990,316513286,451708042,635127772,880393398,1203831108,1624624568,2164968758,2850021508,3707818424,4768904244,6065899424,7632726576,9503753608,11712586008,14290801512,17266369120,20662088854,24493826104,28768882896,33484338578,38625680248,44165612726,50063304712,56264030764,62699346674,69287819378,75936313342,82541899278,88994211556,95178394036,100978264502,106279907286,110975164346,114965314478,118164286046,120501793018,121925673454,122403919608,121925673454,120501793018,118164286046,114965314478,110975164346,106279907286,100978264502,95178394036,88994211556,82541899278,75936313342,69287819378,62699346674,56264030764,50063304712,44165612726,38625680248,33484338578,28768882896,24493826104,20662088854,17266369120,14290801512,11712586008,9503753608,7632726576,6065899424,4768904244,3707818424,2850021508,2164968758,1624624568,1203831108,880393398,635127772,451708042,316513286,218342990,148169068,98818334,64706632,41549032,26128984,16067010,9643992,5638186,3203150,1762734,936566,478304,233548,108336,47368,19322,7242,2468,732,190,36,6"
