graph6,polynomial
FpOGG,"0,0,0,1,4,24,69,188,410,855,1559,2702,4304,6520,9216,12503,15972,19584,22805,25500,27153,27854,27153,25500,22805,19584,15972,12503,9216,6520,4304,2702,1559,855,410,188,69,24,4,1"
FpOGO,"0,0,0,1,8,26,81,200,438,883,1613,2742,4378,6558,9276,12509,15994,19524,22767,25374,27069,27710,27069,25374,22767,19524,15994,12509,9276,6558,4378,2742,1613,883,438,200,81,26,8,1"
FpOI?,"0,0,0,1,6,26,75,198,432,877,1601,2746,4362,6566,9268,12517,15990,19548,22753,25400,27065,27730,27065,25400,22753,19548,15990,12517,9268,6566,4362,2746,1601,877,432,198,75,26,6,1"
Fs`?G,"0,0,1,2,14,33,101,228,492,941,1710,2840,4506,6654,9380,12537,16017,19437,22652,25157,26871,27446,26871,25157,22652,19437,16017,12537,9380,6654,4506,2840,1710,941,492,228,101,33,14,2,1"
FsOGO,"0,0,1,2,12,29,95,214,466,911,1666,2784,4450,6594,9332,12517,16013,19465,22726,25251,26983,27570,26983,25251,22726,19465,16013,12517,9332,6594,4450,2784,1666,911,466,214,95,29,12,2,1"
FsOI?,"0,0,0,1,7,28,81,208,451,901,1641,2789,4420,6611,9316,12536,16004,19513,22704,25302,26976,27614,26976,25302,22704,19513,16004,12536,9316,6611,4420,2789,1641,901,451,208,81,28,7,1"
FsPA?,"0,0,0,3,11,34,101,236,499,963,1733,2885,4548,6705,9412,12574,16020,19427,22596,25090,26776,27366,26776,25090,22596,19427,16020,12574,9412,6705,4548,2885,1733,963,499,236,101,34,11,3"
FqD?G,"0,0,0,1,4,26,69,196,426,871,1589,2750,4346,6574,9260,12525,15986,19572,22739,25426,27061,27750,27061,25426,22739,19572,15986,12525,9260,6574,4346,2750,1589,871,426,196,69,26,4,1"
FqDA?,"0,0,0,1,9,32,87,222,477,931,1685,2845,4476,6671,9364,12556,16008,19485,22630,25208,26864,27490,26864,25208,22630,19485,16008,12556,9364,6671,4476,2845,1685,931,477,222,87,32,9,1"
FqPA?,"0,0,1,4,18,47,121,274,562,1039,1836,3008,4672,6830,9508,12613,16015,19355,22434,24881,26529,27098,26529,24881,22434,19355,16015,12613,9508,6830,4672,3008,1836,1039,562,274,121,47,18,4,1"
FiPA?,"0,1,1,13,28,75,166,358,672,1207,2027,3254,4916,7072,9668,12722,15979,19212,22121,24477,26022,26610,26022,24477,22121,19212,15979,12722,9668,7072,4916,3254,2027,1207,672,358,166,75,28,13,1,1"
