graph6,polynomial
GpD?GC,"0,0,0,0,2,14,52,170,444,1042,2206,4310,7908,13646,22364,34892,52262,74958,103782,138326,178486,222512,269278,315448,359242,396690,426190,444392,451112,444392,426190,396690,359242,315448,269278,222512,178486,138326,103782,74958,52262,34892,22364,13646,7908,4310,2206,1042,444,170,52,14,2"
GpH?GC,"0,0,0,1,3,19,62,196,480,1124,2311,4500,8134,14005,22742,35437,52772,75614,104286,138922,178759,222807,269108,315247,358500,395974,424971,443338,449720,443338,424971,395974,358500,315247,269108,222807,178759,138922,104286,75614,52772,35437,22742,14005,8134,4500,2311,1124,480,196,62,19,3,1"
GpH?GG,"0,0,0,0,6,20,78,214,526,1190,2440,4664,8394,14324,23166,35922,53352,76186,104872,139416,179134,222978,269070,314906,357902,395118,423910,442134,448500,442134,423910,395118,357902,314906,269070,222978,179134,139416,104872,76186,53352,35922,23166,14324,8394,4664,2440,1190,526,214,78,20,6"
Gp`?GC,"0,0,0,0,2,15,60,181,474,1092,2293,4445,8114,13915,22726,35331,52768,75507,104333,138809,178862,222724,269255,315186,358706,395903,425205,443292,449948,443292,425205,395903,358706,315186,269255,222724,178862,138809,104333,75507,52768,35331,22726,13915,8114,4445,2293,1092,474,181,60,15,2"
Gp`?GG,"0,0,0,1,5,22,72,213,516,1180,2408,4643,8348,14282,23108,35874,53278,76159,104827,139397,179121,223005,269081,314979,357958,395187,423984,442242,448564,442242,423984,395187,357958,314979,269081,223005,179121,139397,104827,76159,53278,35874,23108,14282,8348,4643,2408,1180,516,213,72,22,5,1"
Gp`?I?,"0,0,0,0,2,16,62,188,494,1124,2352,4548,8274,14132,23030,35704,53208,76008,104840,139260,179230,222944,269266,314984,358246,395192,424322,442300,448892,442300,424322,395192,358246,314984,269266,222944,179230,139260,104840,76008,53208,35704,23030,14132,8274,4548,2352,1124,494,188,62,16,2"
GpOGI?,"0,0,0,1,3,19,58,192,472,1108,2287,4472,8090,13957,22694,35377,52708,75574,104254,138894,178755,222819,269140,315307,358564,396034,425063,443430,449800,443430,425063,396034,358564,315307,269140,222819,178755,138894,104254,75574,52708,35377,22694,13957,8090,4472,2287,1108,472,192,58,19,3,1"
GpOGOO,"0,0,0,1,7,26,88,237,568,1264,2548,4843,8636,14654,23580,36430,53902,76803,105453,139937,179511,223189,268995,314607,357282,394251,422816,440942,447204,440942,422816,394251,357282,314607,268995,223189,179511,139937,105453,76803,53902,36430,23580,14654,8636,4843,2548,1264,568,237,88,26,7,1"
GpOGQ?,"0,0,0,0,4,18,66,200,502,1150,2378,4596,8296,14216,23056,35798,53222,76102,104806,139364,179136,223012,269140,315032,358048,395254,424106,442330,448680,442330,424106,395254,358048,315032,269140,223012,179136,139364,104806,76102,53222,35798,23056,14216,8296,4596,2378,1150,502,200,66,18,4"
GpOI?C,"0,0,0,0,2,15,56,177,466,1076,2269,4417,8070,13867,22678,35271,52704,75467,104301,138781,178858,222736,269287,315246,358770,395963,425297,443384,450028,443384,425297,395963,358770,315246,269287,222736,178858,138781,104301,75467,52704,35271,22678,13867,8070,4417,2269,1076,466,177,56,15,2"
