graph6,polynomial
MpCGGD??G?_@?@??_,"0,0,0,0,0,0,0,2,26,154,784,3166,11138,34474,97252,252038,610700,1392760,3018392,6248252,12428302,23844186,44300778,79933486,140461212,240892350,404031184,663804092,1069939616,1694022682,2637698904,4043026264,6106021918,9093352288,13363466996,19392008862,27802997334,39405384762,55236527722,76611825334,105181832990,142995621210,192571130418,256970645184,339881148934,445697067388,579603611710,747657774320,956863225200,1215236065232,1531855313330,1916895875992,2381635107274,2938432771446,3600672694668,4382669504930,5299525936488,6366949912096,7601013850418,9017873547438,10633426133342,12462934656492,14520595392438,16819087869890,19369079040566,22178735545478,25253209365496,28594165115716,32199305769008,36061979500894,40170812355432,44509462839876,49056427943424,53785007924662,58663340613536,63654622242920,68717403375346,73806084778966,78871478171200,83861562662806,88722277941680,93398491082434,97834954965390,101977401901408,105773571423552,109174323380164,112134621208674,114614546770090,116580122962366,118004117742098,118866604053916,119155462284870,118866604053916,118004117742098,116580122962366,114614546770090,112134621208674,109174323380164,105773571423552,101977401901408,97834954965390,93398491082434,88722277941680,83861562662806,78871478171200,73806084778966,68717403375346,63654622242920,58663340613536,53785007924662,49056427943424,44509462839876,40170812355432,36061979500894,32199305769008,28594165115716,25253209365496,22178735545478,19369079040566,16819087869890,14520595392438,12462934656492,10633426133342,9017873547438,7601013850418,6366949912096,5299525936488,4382669504930,3600672694668,2938432771446,2381635107274,1916895875992,1531855313330,1215236065232,956863225200,747657774320,579603611710,445697067388,339881148934,256970645184,192571130418,142995621210,105181832990,76611825334,55236527722,39405384762,27802997334,19392008862,13363466996,9093352288,6106021918,4043026264,2637698904,1694022682,1069939616,663804092,404031184,240892350,140461212,79933486,44300778,23844186,12428302,6248252,3018392,1392760,610700,252038,97252,34474,11138,3166,784,154,26,2"
MpCGGH??G?_@?@??_,"0,0,0,0,0,0,1,6,43,243,1072,4068,13507,40403,110630,280967,669263,1506917,3231021,6632018,13097584,24981229,46181226,82974702,145272884,248359704,415406313,680841081,1095047322,1730469250,2689852149,4116643003,6208600197,9234514402,13555442837,19650100036,28146198830,39856889265,55824465654,77369729335,106149445697,144219183865,194104176533,258873922848,342223277859,448553861558,583058463673,751800104122,961788471934,1221042998302,1538645552374,1924769855313,2390691150488,2948761588175,3612356195472,4395773862540,5314100496656,6383019046879,7618576535254,9036894395504,10653836401133,12484623015917,14543411224170,16842832411862,19393511858049,22203566637085,25278109594647,28618759702840,32223189172400,36084710444641,40191933274330,44528496150775,49072899696285,53798444613454,58673296138517,63660674152117,68719181838694,73803266824189,78863817098863,83848878759156,88704486648512,93375588819816,97807044587075,101944672586561,105736320376338,109132929391136,112089562112260,114566366996572,116529446995736,117951612686606,118812989998929,119101471589796,118812989998929,117951612686606,116529446995736,114566366996572,112089562112260,109132929391136,105736320376338,101944672586561,97807044587075,93375588819816,88704486648512,83848878759156,78863817098863,73803266824189,68719181838694,63660674152117,58673296138517,53798444613454,49072899696285,44528496150775,40191933274330,36084710444641,32223189172400,28618759702840,25278109594647,22203566637085,19393511858049,16842832411862,14543411224170,12484623015917,10653836401133,9036894395504,7618576535254,6383019046879,5314100496656,4395773862540,3612356195472,2948761588175,2390691150488,1924769855313,1538645552374,1221042998302,961788471934,751800104122,583058463673,448553861558,342223277859,258873922848,194104176533,144219183865,106149445697,77369729335,55824465654,39856889265,28146198830,19650100036,13555442837,9234514402,6208600197,4116643003,2689852149,1730469250,1095047322,680841081,415406313,248359704,145272884,82974702,46181226,24981229,13097584,6632018,3231021,1506917,669263,280967,110630,40403,13507,4068,1072,243,43,6,1"
MpCGGH??G?_@?@?@?,"0,0,0,0,0,0,0,12,68,354,1416,5108,16142,46912,125014,311828,730988,1626640,3452226,7030052,13787884,26151384,48108832,86086946,150182534,255969190,426971940,698145102,1120503892,1767389892,2742609654,4191058392,6312172722,9376956414,13748976396,19910147196,28491727322,40311247212,56415721174,78131607226,107121571100,145448026572,195643069398,260783879616,344572600454,451418665468,586521671964,755951476076,966722787644,1226859415742,1545444809022,1932652842588,2399755065302,2959097699510,3624045030622,4408882311582,5328676268874,6399087458388,7636134696988,9055908175262,10674234994864,12506296758308,14566207278500,16866554176608,19417916566460,22228367021478,25302974093486,28643316898824,32247031002764,36107399632354,40213009610196,44547486649110,49089327568820,53811841473128,58683212752182,63666693580866,68720930711166,73800427920354,78856139645380,83836188879604,88686695070440,93352697733944,97779151434968,101911972133918,105699103704508,109091580635526,112044552329240,114518245708108,116478831385370,117899174740902,118759442165006,119047550998306,118759442165006,117899174740902,116478831385370,114518245708108,112044552329240,109091580635526,105699103704508,101911972133918,97779151434968,93352697733944,88686695070440,83836188879604,78856139645380,73800427920354,68720930711166,63666693580866,58683212752182,53811841473128,49089327568820,44547486649110,40213009610196,36107399632354,32247031002764,28643316898824,25302974093486,22228367021478,19417916566460,16866554176608,14566207278500,12506296758308,10674234994864,9055908175262,7636134696988,6399087458388,5328676268874,4408882311582,3624045030622,2959097699510,2399755065302,1932652842588,1545444809022,1226859415742,966722787644,755951476076,586521671964,451418665468,344572600454,260783879616,195643069398,145448026572,107121571100,78131607226,56415721174,40311247212,28491727322,19910147196,13748976396,9376956414,6312172722,4191058392,2742609654,1767389892,1120503892,698145102,426971940,255969190,150182534,86086946,48108832,26151384,13787884,7030052,3452226,1626640,730988,311828,125014,46912,16142,5108,1416,354,68,12"
MpCGGP??G?_@?@??_,"0,0,0,0,0,0,0,2,27,177,876,3512,12181,37365,104309,268314,645394,1463478,3154998,6502884,12884718,24638897,45643111,82147448,144024139,246510725,412711596,676980197,1089590771,1722876546,2679414086,4102494116,6189632644,9209412909,13522559357,19607537773,28091625714,39787698513,55737520522,77261626769,106016166569,144056521163,193907246159,258637810445,341942386439,448222823672,582671267493,751351368836,961272254135,1220454503007,1537979564472,1924022935113,2389859570955,2947844142781,3611351477313,4394683755613,5312926708909,6381767326693,7617252295799,9035507811910,10652396920454,12483145412210,14541908936165,16841324591838,19392015385762,22202104366944,25276700877375,28617429904366,32221958743851,36083605743242,40190974108822,44527708122605,49072300130964,53798056453480,58673132435826,63660753461047,68719511273388,73803859120316,78864672226016,83850002546314,88705871230289,93377232643050,97808931750150,101946794271522,105738653123788,109135457705343,112092256031090,114569205541189,116532395129861,117954645566653,118816069412567,119104570635480,118816069412567,117954645566653,116532395129861,114569205541189,112092256031090,109135457705343,105738653123788,101946794271522,97808931750150,93377232643050,88705871230289,83850002546314,78864672226016,73803859120316,68719511273388,63660753461047,58673132435826,53798056453480,49072300130964,44527708122605,40190974108822,36083605743242,32221958743851,28617429904366,25276700877375,22202104366944,19392015385762,16841324591838,14541908936165,12483145412210,10652396920454,9035507811910,7617252295799,6381767326693,5312926708909,4394683755613,3611351477313,2947844142781,2389859570955,1924022935113,1537979564472,1220454503007,961272254135,751351368836,582671267493,448222823672,341942386439,258637810445,193907246159,144056521163,106016166569,77261626769,55737520522,39787698513,28091625714,19607537773,13522559357,9209412909,6189632644,4102494116,2679414086,1722876546,1089590771,676980197,412711596,246510725,144024139,82147448,45643111,24638897,12884718,6502884,3154998,1463478,645394,268314,104309,37365,12181,3512,876,177,27,2"
MpCGGP??G?_@?@?@?,"0,0,0,0,0,0,1,8,52,274,1202,4480,14734,43608,118419,298423,706315,1581365,3374223,6896760,13570630,25800486,47561679,85243364,148916605,254090755,424246799,694234218,1114996311,1759716810,2732090883,4176786159,6293084367,9351674779,13715920790,19867334031,28436921780,40241722118,56328478908,78023080088,106987932426,145284850694,195445731958,260547177721,344291283670,451086989952,586134076132,755502098502,966206258165,1226270329219,1544778672796,1931905450770,2398923581893,2958179973380,3623040737011,4407792177831,5327503306195,6397836015790,7634811730801,9054522196134,10672797255945,12504820069993,14564707179711,16865047532160,19416422663755,22226906092563,25301568224102,28641988473424,32245803560745,36106296182709,40212053404382,44546699581910,49088730770897,53811453814456,58683051463169,63666772791534,68721262065938,73801019408305,78856996106127,83837311082848,88688080347329,93354339194602,97781038652395,101914090723417,105701435924544,109094105217815,112047245236858,114521080036151,116481778159659,117902203097441,118762520042110,119050645412626,118762520042110,117902203097441,116481778159659,114521080036151,112047245236858,109094105217815,105701435924544,101914090723417,97781038652395,93354339194602,88688080347329,83837311082848,78856996106127,73801019408305,68721262065938,63666772791534,58683051463169,53811453814456,49088730770897,44546699581910,40212053404382,36106296182709,32245803560745,28641988473424,25301568224102,22226906092563,19416422663755,16865047532160,14564707179711,12504820069993,10672797255945,9054522196134,7634811730801,6397836015790,5327503306195,4407792177831,3623040737011,2958179973380,2398923581893,1931905450770,1544778672796,1226270329219,966206258165,755502098502,586134076132,451086989952,344291283670,260547177721,195445731958,145284850694,106987932426,78023080088,56328478908,40241722118,28436921780,19867334031,13715920790,9351674779,6293084367,4176786159,2732090883,1759716810,1114996311,694234218,424246799,254090755,148916605,85243364,47561679,25800486,13570630,6896760,3374223,1581365,706315,298423,118419,43608,14734,4480,1202,274,52,8,1"
MpCGGP??G?_@?@?A?,"0,0,0,0,0,0,0,2,28,196,974,3880,13294,40428,111764,285332,681590,1536776,3296126,6764960,13353264,25452328,47014564,84404524,147650758,252220328,421521700,690335726,1109488950,1752062120,2721571726,4162540810,6273994182,9326429988,13682861146,19824569890,28382106840,40172261312,56241218492,77914633458,106854263644,145121773358,195248344888,260310595788,344009890766,450755455144,585746371564,755052884448,965689575646,1225681433650,1544112330330,1931158276752,2398091833028,2957262496016,3622036105828,4406702332738,5326329927386,6396584902532,7633488268340,9053136596034,10671358930412,12503343823710,14563206403510,16863541394930,19414927998594,22225445747648,25300161500944,28640660724764,32244575180400,36105193501514,40211096188282,44545913385932,49088132887472,53811067142080,58682889025756,63666853095420,68721592226182,73801612100550,78857851322906,83838434606204,88689464345220,93355982070100,97782924572120,101916210817220,105703766821488,109096631386360,112049936808552,114523915999658,116484723597976,117905233123886,118765596572422,119053741516446,118765596572422,117905233123886,116484723597976,114523915999658,112049936808552,109096631386360,105703766821488,101916210817220,97782924572120,93355982070100,88689464345220,83838434606204,78857851322906,73801612100550,68721592226182,63666853095420,58682889025756,53811067142080,49088132887472,44545913385932,40211096188282,36105193501514,32244575180400,28640660724764,25300161500944,22225445747648,19414927998594,16863541394930,14563206403510,12503343823710,10671358930412,9053136596034,7633488268340,6396584902532,5326329927386,4406702332738,3622036105828,2957262496016,2398091833028,1931158276752,1544112330330,1225681433650,965689575646,755052884448,585746371564,450755455144,344009890766,260310595788,195248344888,145121773358,106854263644,77914633458,56241218492,40172261312,28382106840,19824569890,13682861146,9326429988,6273994182,4162540810,2721571726,1752062120,1109488950,690335726,421521700,252220328,147650758,84404524,47014564,25452328,13353264,6764960,3296126,1536776,681590,285332,111764,40428,13294,3880,974,196,28,2"
MpCGG`??G?_@?@??_,"0,0,0,0,0,0,1,6,43,227,1020,3868,12979,39007,107546,274223,655971,1481309,3184681,6550054,12958988,24751317,45812486,82393758,144381052,247012628,413414817,677939317,1090895682,1724608578,2681707969,4105464935,6193471609,9214272082,13528698637,19615143208,28101032322,39799119165,55751364746,77278111939,106035773145,144079435817,193934001777,258668519044,341977606599,448262531218,582716020809,751400934862,961327157754,1220514239362,1538044594170,1924092410901,2389933887732,2947922053995,3611433315284,4394767853516,5313013367644,6381854449539,7617340228538,9035594041872,10652481925269,12483226328433,14541986472434,16841395590858,19392080929069,22202161068301,25276750295227,28617468514568,32221988671088,36083623371469,40190982217402,44527703021411,49072285274861,53798028110966,58673094706217,63660702535805,68719451879650,73803787316513,78864593266331,83849912337016,88705775440052,93377126963980,97808822189303,101946676257501,105738532891758,109135330451524,112092128112980,114569071929668,116532262285120,117954508270342,118815934161649,119104432138516,118815934161649,117954508270342,116532262285120,114569071929668,112092128112980,109135330451524,105738532891758,101946676257501,97808822189303,93377126963980,88705775440052,83849912337016,78864593266331,73803787316513,68719451879650,63660702535805,58673094706217,53798028110966,49072285274861,44527703021411,40190982217402,36083623371469,32221988671088,28617468514568,25276750295227,22202161068301,19392080929069,16841395590858,14541986472434,12483226328433,10652481925269,9035594041872,7617340228538,6381854449539,5313013367644,4394767853516,3611433315284,2947922053995,2389933887732,1924092410901,1538044594170,1220514239362,961327157754,751400934862,582716020809,448262531218,341977606599,258668519044,193934001777,144079435817,106035773145,77278111939,55751364746,39799119165,28101032322,19615143208,13528698637,9214272082,6193471609,4105464935,2681707969,1724608578,1090895682,677939317,413414817,247012628,144381052,82393758,45812486,24751317,12958988,6550054,3184681,1481309,655971,274223,107546,39007,12979,3868,1020,227,43,6,1"
MpCGG`??G?_@?@?@?,"0,0,0,0,0,0,0,10,60,330,1330,4872,15512,45382,121628,304696,716874,1600000,3403962,6945560,13645094,25916030,47731512,85495084,149274468,254601568,424951472,695207300,1116303212,1761469564,2734387156,4179786480,6296925148,9356574500,13722059788,19874992684,28446323562,40253210532,56342309408,78039648990,107007511128,145307865502,195472438704,260578003346,344326424984,451126832096,586178711464,755551816476,966260995160,1226330237004,1544843476926,1931975120568,2398997606218,2958258105566,3623122209292,4407876531576,5327589520884,6397923439920,7634899140104,9054608783680,10672881659030,12504901414718,14564784037510,16865119044102,19416487456762,22226963403438,25301616824102,28642027800732,32245832605184,36106314643012,40212060568720,44546695428954,49088714910054,53811426535764,58683012667194,63666723038642,68721201544444,73800948874944,78856915956216,83837222229598,88687983304598,93354234942938,97780927780620,101913974192216,105701314328734,109093979489332,112047115911300,114520947978114,116481643876758,117902067371354,118762383336646,119050508491350,118762383336646,117902067371354,116481643876758,114520947978114,112047115911300,109093979489332,105701314328734,101913974192216,97780927780620,93354234942938,88687983304598,83837222229598,78856915956216,73800948874944,68721201544444,63666723038642,58683012667194,53811426535764,49088714910054,44546695428954,40212060568720,36106314643012,32245832605184,28642027800732,25301616824102,22226963403438,19416487456762,16865119044102,14564784037510,12504901414718,10672881659030,9054608783680,7634899140104,6397923439920,5327589520884,4407876531576,3623122209292,2958258105566,2398997606218,1931975120568,1544843476926,1226330237004,966260995160,755551816476,586178711464,451126832096,344326424984,260578003346,195472438704,145307865502,107007511128,78039648990,56342309408,40253210532,28446323562,19874992684,13722059788,9356574500,6296925148,4179786480,2734387156,1761469564,1116303212,695207300,424951472,254601568,149274468,85495084,47731512,25916030,13645094,6945560,3403962,1600000,716874,304696,121628,45382,15512,4872,1330,330,60,10"
MpCGG`??G?_@?@?A?,"0,0,0,0,0,0,1,8,52,264,1152,4290,14200,42200,115239,291561,692657,1555215,3326847,6813264,13429338,25566882,47186959,84654248,148012673,252727567,422232401,691303050,1110804627,1753805648,2723880817,4165527015,6277852807,9331309323,13689024942,19832199369,28391543016,40183709366,56255095290,77931148244,106873903874,145144716210,195275133072,260341327807,344045137126,450795178516,585791140902,755102452312,965744481853,1225741154827,1544177343642,1931227718496,2398166112909,2957340351322,3622117887725,4406786354379,5326416510253,6396671934238,7633576110817,9053222722542,10671443838749,12503424633581,14563283842111,16863612294250,19414993452485,22225502362007,25300210846970,28640699268340,32244605056111,36105211091135,40211104270544,44545908272558,49088118032409,53811038814918,58682851319263,63666802210362,68721532874014,73801540354429,78857772418873,83838344465560,88689368615869,93355876467044,97782815072281,101916092877989,105703646648074,109096504204171,112049808943116,114523782455933,116484590800103,117905095892163,118765461366248,119053603081514,118765461366248,117905095892163,116484590800103,114523782455933,112049808943116,109096504204171,105703646648074,101916092877989,97782815072281,93355876467044,88689368615869,83838344465560,78857772418873,73801540354429,68721532874014,63666802210362,58682851319263,53811038814918,49088118032409,44545908272558,40211104270544,36105211091135,32244605056111,28640699268340,25300210846970,22225502362007,19414993452485,16863612294250,14563283842111,12503424633581,10671443838749,9053222722542,7633576110817,6396671934238,5326416510253,4406786354379,3622117887725,2957340351322,2398166112909,1931227718496,1544177343642,1225741154827,965744481853,755102452312,585791140902,450795178516,344045137126,260341327807,195275133072,145144716210,106873903874,77931148244,56255095290,40183709366,28391543016,19832199369,13689024942,9331309323,6277852807,4165527015,2723880817,1753805648,1110804627,691303050,422232401,252727567,148012673,84654248,47186959,25566882,13429338,6813264,3326847,1555215,692657,291561,115239,42200,14200,4290,1152,264,52,8,1"
MpCGG`??G?_@?@?C?,"0,0,0,0,0,0,0,8,52,298,1236,4596,14834,43740,118098,297292,702472,1572776,3355114,6860084,13501224,25678996,47352552,84900598,148364002,253230394,422927692,692264866,1112098732,1755543476,2726160410,4168508512,6281673262,9336186346,13695140236,19839832404,28400918482,40195170028,56268898434,77947688738,106893455708,145167704000,195301815098,260372129540,344080258258,450835001292,585835761700,755152157572,965799210996,1225801056722,1544242147750,1931297389604,2398240144446,2957418492054,3622199373530,4406870722634,5326502744414,6396759377076,7633663543100,9053309332610,10671528266764,12503506001800,14563360725968,16863683829804,19415058270424,22225559695782,25300259469758,28640738616480,32244634121300,36105229569438,40211111452100,44545904135966,49088102185680,53811011549368,58682812534926,63666752468650,68721472360866,73801469830398,78857692274876,83838255619904,88689271577516,93355772221572,97782704202768,101915976352754,105703525053440,109096378480018,112049679617928,114523650402408,116484456516522,117904960170134,118765324660254,119053466164234,118765324660254,117904960170134,116484456516522,114523650402408,112049679617928,109096378480018,105703525053440,101915976352754,97782704202768,93355772221572,88689271577516,83838255619904,78857692274876,73801469830398,68721472360866,63666752468650,58682812534926,53811011549368,49088102185680,44545904135966,40211111452100,36105229569438,32244634121300,28640738616480,25300259469758,22225559695782,19415058270424,16863683829804,14563360725968,12503506001800,10671528266764,9053309332610,7633663543100,6396759377076,5326502744414,4406870722634,3622199373530,2957418492054,2398240144446,1931297389604,1544242147750,1225801056722,965799210996,755152157572,585835761700,450835001292,344080258258,260372129540,195301815098,145167704000,106893455708,77947688738,56268898434,40195170028,28400918482,19839832404,13695140236,9336186346,6281673262,4168508512,2726160410,1755543476,1112098732,692264866,422927692,253230394,148364002,84900598,47352552,25678996,13501224,6860084,3355114,1572776,702472,297292,118098,43740,14834,4596,1236,298,52,8"
