graph6,polynomial
EpOG,"0,0,0,2,10,30,76,168,310,536,806,1156,1478,1790,1970,2086,1970,1790,1478,1156,806,536,310,168,76,30,10,2"
EsOG,"0,0,1,2,13,31,85,170,323,534,820,1146,1484,1767,1969,2060,1969,1767,1484,1146,820,534,323,170,85,31,13,2,1"
EsP?,"0,0,0,4,12,34,88,178,328,540,824,1150,1478,1758,1956,2050,1956,1758,1478,1150,824,540,328,178,88,34,12,4"
EqD?,"0,0,0,2,11,33,78,176,318,538,813,1160,1470,1781,1960,2070,1960,1781,1470,1160,813,538,318,176,78,33,11,2"
EqP?,"0,0,1,4,16,38,93,186,339,542,831,1150,1470,1746,1945,2028,1945,1746,1470,1150,831,542,339,186,93,38,16,4,1"
EiP?,"0,1,1,11,21,52,110,211,361,561,842,1151,1450,1711,1901,1982,1901,1711,1450,1151,842,561,361,211,110,52,21,11,1,1"
