graph6,polynomial
JpCQ?C@?GC?,"0,0,0,0,1,4,23,87,337,1049,3065,7904,19039,42403,89346,178164,340211,623191,1102327,1886541,3136045,5071942,8001419,12328761,18588117,27451406,39764001,56542634,79006727,108554158,146779815,195417423,256334870,331434514,422620947,531654757,660101983,809150336,979554934,1171442511,1384282232,1616705773,1866541455,2130684122,2405218219,2685368524,2965726973,3240283533,3502756177,3746681541,3965808223,4154212516,4306701265,4418891777,4487568729,4510675898,4487568729,4418891777,4306701265,4154212516,3965808223,3746681541,3502756177,3240283533,2965726973,2685368524,2405218219,2130684122,1866541455,1616705773,1384282232,1171442511,979554934,809150336,660101983,531654757,422620947,331434514,256334870,195417423,146779815,108554158,79006727,56542634,39764001,27451406,18588117,12328761,8001419,5071942,3136045,1886541,1102327,623191,340211,178164,89346,42403,19039,7904,3065,1049,337,87,23,4,1"
JpCQ?C@?I??,"0,0,0,0,0,1,11,71,290,1000,2950,7775,18788,42144,88844,177713,339384,622439,1101087,1885526,3134271,5070658,7999197,12327315,18585516,27450094,39761055,56541712,79003836,108553811,146777010,195418151,256332225,331436333,422618713,531657636,660099882,809154559,979552690,1171447660,1384280004,1616711599,1866538703,2130690815,2405214825,2685375425,2965723240,3240290662,3502751672,3746689181,3965803085,4154220027,4306696092,4418899338,4487563110,4510683750,4487563110,4418899338,4306696092,4154220027,3965803085,3746689181,3502751672,3240290662,2965723240,2685375425,2405214825,2130690815,1866538703,1616711599,1384280004,1171447660,979552690,809154559,660099882,531657636,422618713,331436333,256332225,195418151,146777010,108553811,79003836,56541712,39761055,27450094,18585516,12327315,7999197,5070658,3134271,1885526,1101087,622439,339384,177713,88844,42144,18788,7775,2950,1000,290,71,11,1"
JpCQ?C@?OA?,"0,0,0,0,0,7,29,143,468,1448,3913,9754,22557,49056,100873,197922,372183,674034,1179924,2002792,3304495,5311894,8333685,12781114,19188956,28236538,40766977,57803471,80558373,110433108,149008740,198018197,259306625,334771728,426286560,535603764,664251822,813411347,983797694,1175536972,1388062381,1620017425,1869204653,2132548505,2406121009,2685197308,2964371522,3237701130,3498917264,3741635913,3959621323,4147030933,4298680211,4410257908,4478541523,4501527658,4478541523,4410257908,4298680211,4147030933,3959621323,3741635913,3498917264,3237701130,2964371522,2685197308,2406121009,2132548505,1869204653,1620017425,1388062381,1175536972,983797694,813411347,664251822,535603764,426286560,334771728,259306625,198018197,149008740,110433108,80558373,57803471,40766977,28236538,19188956,12781114,8333685,5311894,3304495,2002792,1179924,674034,372183,197922,100873,49056,22557,9754,3913,1448,468,143,29,7"
JpCQ?C@?OC?,"0,0,0,0,0,3,19,89,344,1114,3217,8318,19885,44186,92591,184076,350165,639702,1128312,1926720,3195741,5159116,8124637,12499940,18819428,27758828,40162575,57050889,79640267,109330896,147711568,196516471,257603269,332872740,424215046,533387480,661938382,811052265,981465262,1173303332,1386018253,1618246503,1867803411,2131596909,2405705009,2685375120,2965199862,3239200290,3501100414,3744473727,3963076633,4151023119,4303124773,4415032306,4483527497,4506578602,4483527497,4415032306,4303124773,4151023119,3963076633,3744473727,3501100414,3239200290,2965199862,2685375120,2405705009,2131596909,1867803411,1618246503,1386018253,1173303332,981465262,811052265,661938382,533387480,424215046,332872740,257603269,196516471,147711568,109330896,79640267,57050889,40162575,27758828,18819428,12499940,8124637,5159116,3195741,1926720,1128312,639702,350165,184076,92591,44186,19885,8318,3217,1114,344,89,19,3"
JpCQ?C@?Q??,"0,0,0,0,0,5,23,115,394,1250,3478,8817,20760,45682,94944,187835,355742,647887,1139877,1942850,3217295,5187798,8161483,12546721,18877250,27829468,40246323,57149532,79753226,109458719,147852612,196670523,257766373,333043925,424388929,533561406,662106070,811211027,981606922,1173426076,1386114374,1618314167,1867836023,2131595245,2405662491,2685295145,2965078482,3239041924,3500903176,3744245393,3962815193,4150738553,4302817570,4414712088,4483195550,4506246578,4483195550,4414712088,4302817570,4150738553,3962815193,3744245393,3500903176,3239041924,2965078482,2685295145,2405662491,2131595245,1867836023,1618314167,1386114374,1173426076,981606922,811211027,662106070,533561406,424388929,333043925,257766373,196670523,147852612,109458719,79753226,57149532,40246323,27829468,18877250,12546721,8161483,5187798,3217295,1942850,1139877,647887,355742,187835,94944,45682,20760,8817,3478,1250,394,115,23,5"
JpCQ?C@?_?_,"0,0,0,0,0,1,15,67,292,956,2867,7570,18393,41366,87615,175528,336059,617290,1093600,1874596,3119447,5050180,7972437,12292454,18541748,27395292,39695399,56462695,78912317,108448506,146659644,195287715,256193147,331287952,422466702,531503354,659949890,809009807,979422490,1171331890,1384187353,1616642699,1866501271,2130682339,2405244109,2685437212,2965823268,3240423554,3502921146,3746885693,3966031549,4154468593,4306966417,4419180874,4487856705,4510975874,4487856705,4419180874,4306966417,4154468593,3966031549,3746885693,3502921146,3240423554,2965823268,2685437212,2405244109,2130682339,1866501271,1616642699,1384187353,1171331890,979422490,809009807,659949890,531503354,422466702,331287952,256193147,195287715,146659644,108448506,78912317,56462695,39695399,27395292,18541748,12292454,7972437,5050180,3119447,1874596,1093600,617290,336059,175528,87615,41366,18393,7570,2867,956,292,67,15,1"
JpCQ?C@?_C?,"0,0,0,0,1,6,29,117,421,1287,3613,9136,21467,47095,97778,192820,364517,662499,1163441,1979341,3272763,5268892,8277775,12708977,19098801,28124678,40632811,57643322,80372949,110220436,148771495,197755825,259025764,334473308,425980007,535292935,663948479,813119812,983532978,1175302707,1387873292,1619876929,1869125901,2132530698,2406176867,2685321450,2964572153,3237970249,3499259249,3742036743,3960084249,4147538020,4299230629,4410833239,4479139131,4502125838,4479139131,4410833239,4299230629,4147538020,3960084249,3742036743,3499259249,3237970249,2964572153,2685321450,2406176867,2132530698,1869125901,1619876929,1387873292,1175302707,983532978,813119812,663948479,535292935,425980007,334473308,259025764,197755825,148771495,110220436,80372949,57643322,40632811,28124678,19098801,12708977,8277775,5268892,3272763,1979341,1163441,662499,364517,192820,97778,47095,21467,9136,3613,1287,421,117,29,6,1"
JpCQ?C@?a??,"0,0,0,0,0,1,13,73,306,1034,3056,8041,19360,43330,91162,181913,346722,634787,1121019,1916706,3181683,5140612,8099785,12468631,18779148,27709784,40102049,56980054,79555886,109235847,147602562,196398191,257472821,332737115,424071047,533245088,661794018,810917885,981336866,1173194906,1385923496,1618181329,1867759029,2131589243,2405722889,2685434427,2965285474,3239328486,3501252606,3744664849,3963285915,4151265111,4303375646,4415307022,4483800802,4506864350,4483800802,4415307022,4303375646,4151265111,3963285915,3744664849,3501252606,3239328486,2965285474,2685434427,2405722889,2131589243,1867759029,1618181329,1385923496,1173194906,981336866,810917885,661794018,533245088,424071047,332737115,257472821,196398191,147602562,109235847,79555886,56980054,40102049,27709784,18779148,12468631,8099785,5140612,3181683,1916706,1121019,634787,346722,181913,91162,43330,19360,8041,3056,1034,306,73,13,1"
JpCQ?C@O??_,"0,0,0,0,0,1,13,67,286,962,2874,7599,18452,41498,87800,175897,336586,618103,1094735,1876274,3121553,5053080,7976003,12296961,18547094,27401804,39702561,56471102,78921342,108458359,146669644,195298403,256203193,331298161,422475797,531511722,659956498,809015637,979425586,1171333944,1384186914,1616640867,1866496761,2130677227,2405236175,2685428973,2965813174,3240413240,3502909196,3746874707,3966018615,4154456633,4306953586,4419168832,4487843442,4510964134,4487843442,4419168832,4306953586,4154456633,3966018615,3746874707,3502909196,3240413240,2965813174,2685428973,2405236175,2130677227,1866496761,1616640867,1384186914,1171333944,979425586,809015637,659956498,531511722,422475797,331298161,256203193,195298403,146669644,108458359,78921342,56471102,39702561,27401804,18547094,12296961,7976003,5053080,3121553,1876274,1094735,618103,336586,175897,87800,41498,18452,7599,2874,962,286,67,13,1"
JpCQ?C@OA??,"0,0,0,0,0,5,23,119,416,1316,3656,9255,21670,47496,98352,193845,365952,664651,1166345,1983472,3277933,5275806,8286149,12719429,19111004,28139308,40648839,57661822,80392600,110241775,148792992,197778473,259047023,334494631,425998775,535310174,663961872,813131309,983538946,1175306300,1387871570,1619872405,1869115841,2132519131,2406159765,2685303611,2964550324,3237948120,3499233752,3742012899,3960056801,4147512445,4299203062,4410807438,4479110898,4502100410,4479110898,4410807438,4299203062,4147512445,3960056801,3742012899,3499233752,3237948120,2964550324,2685303611,2406159765,2132519131,1869115841,1619872405,1387871570,1175306300,983538946,813131309,663961872,535310174,425998775,334494631,259047023,197778473,148792992,110241775,80392600,57661822,40648839,28139308,19111004,12719429,8286149,5275806,3277933,1983472,1166345,664651,365952,193845,98352,47496,21670,9255,3656,1316,416,119,23,5"
JpC_I?@?G?_,"0,0,0,0,0,1,6,47,213,796,2449,6778,16736,38455,82249,166721,321256,594289,1057611,1821452,3040959,4939477,7816897,12082086,18259023,27027676,39220986,55868675,78174865,107558332,145595335,194049530,254767721,329691946,420700929,529606883,657942143,806955677,977360056,1169350380,1382338942,1615032803,1865185186,2129768574,2404775385,2685508092,2966447470,3241665098,3504751067,3749326380,3969004091,4157950616,4310833030,4423371697,4492213935,4515417998,4492213935,4423371697,4310833030,4157950616,3969004091,3749326380,3504751067,3241665098,2966447470,2685508092,2404775385,2129768574,1865185186,1615032803,1382338942,1169350380,977360056,806955677,657942143,529606883,420700929,329691946,254767721,194049530,145595335,107558332,78174865,55868675,39220986,27027676,18259023,12082086,7816897,4939477,3040959,1821452,1057611,594289,321256,166721,82249,38455,16736,6778,2449,796,213,47,6,1"
JpC`A?@?G?_,"0,0,0,0,0,1,15,79,324,1072,3143,8206,19677,43870,92115,183408,349131,638414,1126440,1924436,3192703,5155588,8120065,12495134,18813492,27752900,40155819,57045007,79633753,109326662,147707396,196515831,257603723,332878372,424221838,533401106,661953066,811073867,981487086,1173331874,1386044125,1618278083,1867829219,2131625523,2405724601,2685395428,2965206928,3239206914,3501091898,3744463505,3963051213,4150997701,4303084765,4414995778,4483479945,4506537522,4483479945,4414995778,4303084765,4150997701,3963051213,3744463505,3501091898,3239206914,2965206928,2685395428,2405724601,2131625523,1867829219,1618278083,1386044125,1173331874,981487086,811073867,661953066,533401106,424221838,332878372,257603723,196515831,147707396,109326662,79633753,57045007,40155819,27752900,18813492,12495134,8120065,5155588,3192703,1924436,1126440,638414,349131,183408,92115,43870,19677,8206,3143,1072,324,79,15,1"
JpCcA?@?G?_,"0,0,0,0,0,1,9,55,246,882,2677,7264,17787,40426,85937,173098,332099,611714,1085238,1863316,3103411,5029422,7944393,12257426,18496564,27340902,39627893,56384497,78819001,108344096,146539656,195158665,256050151,331140574,422309782,531349206,659792998,808865359,979283230,1171215810,1384085221,1616573735,1866453537,2130676241,2405263733,2685503436,2965916638,3240564256,3503086194,3747095183,3966258455,4154732845,4307238953,4419480670,4488153077,4511288082,4488153077,4419480670,4307238953,4154732845,3966258455,3747095183,3503086194,3240564256,2965916638,2685503436,2405263733,2130676241,1866453537,1616573735,1384085221,1171215810,979283230,808865359,659792998,531349206,422309782,331140574,256050151,195158665,146539656,108344096,78819001,56384497,39627893,27340902,18496564,12257426,7944393,5029422,3103411,1863316,1085238,611714,332099,173098,85937,40426,17787,7264,2677,882,246,55,9,1"
JpCa?C@?GA?,"0,0,0,0,0,1,10,61,262,919,2769,7443,18124,41037,86989,174788,334786,615818,1091315,1872030,3115657,5046119,7966738,12286595,18533832,27387571,39685277,56453433,78900369,108438320,146646706,195277795,256180263,331279575,422455211,531497871,659940923,809008288,979416847,1171335059,1384185346,1616650467,1866502718,2130694379,2405248300,2685452544,2965829387,3240441229,3502928252,3746904694,3966038982,4154488352,4306973822,4419200783,4487863995,4510995898,4487863995,4419200783,4306973822,4154488352,3966038982,3746904694,3502928252,3240441229,2965829387,2685452544,2405248300,2130694379,1866502718,1616650467,1384185346,1171335059,979416847,809008288,659940923,531497871,422455211,331279575,256180263,195277795,146646706,108438320,78900369,56453433,39685277,27387571,18533832,12286595,7966738,5046119,3115657,1872030,1091315,615818,334786,174788,86989,41037,18124,7443,2769,919,262,61,10,1"
JpCa?C@?GC?,"0,0,0,0,0,1,11,63,272,940,2815,7518,18281,41262,87375,175336,335663,616950,1092992,1874136,3118563,5049592,7971317,12291762,18540400,27394692,39693847,56462271,78910777,108448354,146658100,195288127,256191643,331288920,422465414,531504866,659948626,809012055,979421126,1171334602,1384186057,1616645795,1866499655,2130685935,2405242149,2685440928,2965821196,3240427390,3502918634,3746889873,3966028725,4154472661,4306963613,4419184990,4487853629,4510980202,4487853629,4419184990,4306963613,4154472661,3966028725,3746889873,3502918634,3240427390,2965821196,2685440928,2405242149,2130685935,1866499655,1616645795,1384186057,1171334602,979421126,809012055,659948626,531504866,422465414,331288920,256191643,195288127,146658100,108448354,78910777,56462271,39693847,27394692,18540400,12291762,7971317,5049592,3118563,1874136,1092992,616950,335663,175336,87375,41262,18281,7518,2815,940,272,63,11,1"
JpCa?C@?I??,"0,0,0,0,0,1,12,69,284,969,2880,7620,18467,41561,87834,176029,336677,618327,1094906,1876664,3121791,5053655,7976368,12297754,18547522,27402855,39702991,56472376,78921770,108459773,146669930,195300047,256203173,331299840,422475498,531513419,659955727,809017410,979424255,1171335665,1384185111,1616642475,1866494344,2130678967,2405233198,2685430581,2965809857,3240414835,3502905378,3746876428,3966014488,4154458332,4306949395,4419170489,4487839024,4510965958,4487839024,4419170489,4306949395,4154458332,3966014488,3746876428,3502905378,3240414835,2965809857,2685430581,2405233198,2130678967,1866494344,1616642475,1384185111,1171335665,979424255,809017410,659955727,531513419,422475498,331299840,256203173,195300047,146669930,108459773,78921770,56472376,39702991,27402855,18547522,12297754,7976368,5053655,3121791,1876664,1094906,618327,336677,176029,87834,41561,18467,7620,2880,969,284,69,12,1"
JpCa?C@?OA?,"0,0,0,0,1,6,32,127,451,1354,3767,9417,21998,47998,99288,195208,368216,667979,1171440,1990567,3288245,5289659,8305160,12744130,19143209,28179493,40699341,57722372,80465293,110326078,148890401,197886841,259167420,334623251,426135488,535450160,664103540,813268065,983669731,1175423044,1387972441,1619950361,1869169796,2132541822,2406152494,2685260258,2964473508,3237834684,3499088071,3741832768,3959850558,4147279227,4298951214,4410538888,4478835457,4501819366,4478835457,4410538888,4298951214,4147279227,3959850558,3741832768,3499088071,3237834684,2964473508,2685260258,2406152494,2132541822,1869169796,1619950361,1387972441,1175423044,983669731,813268065,664103540,535450160,426135488,334623251,259167420,197886841,148890401,110326078,80465293,57722372,40699341,28179493,19143209,12744130,8305160,5289659,3288245,1990567,1171440,667979,368216,195208,99288,47998,21998,9417,3767,1354,451,127,32,6,1"
JpCa?C@?OC?,"0,0,0,0,0,1,11,69,290,1006,2993,7934,19167,43042,90689,181218,345711,633400,1119094,1914204,3178423,5136550,8094763,12462632,18772006,27701686,40092881,56969965,79544957,109224418,147590722,196386383,257461247,332726182,424061054,533236486,661786858,810912617,981333636,1173193756,1385924515,1618184511,1867764229,2131596289,2405731711,2685444642,2965296948,3239340924,3501265796,3744678443,3963300119,4151279391,4303390115,4415321476,4483815425,4506878830,4483815425,4415321476,4303390115,4151279391,3963300119,3744678443,3501265796,3239340924,2965296948,2685444642,2405731711,2131596289,1867764229,1618184511,1385924515,1173193756,981333636,810912617,661786858,533236486,424061054,332726182,257461247,196386383,147590722,109224418,79544957,56969965,40092881,27701686,18772006,12462632,8094763,5136550,3178423,1914204,1119094,633400,345711,181218,90689,43042,19167,7934,2993,1006,290,69,11,1"
JpCa?C@?Q??,"0,0,0,0,1,6,30,113,403,1222,3430,8666,20487,45088,94011,186123,353125,643720,1133825,1933853,3204997,5170585,8138860,12516849,18839569,27781759,40188731,57079631,79671756,109364015,147746417,196551551,257638554,332906492,424247195,533416110,661963796,811072459,981480725,1173312470,1386021866,1618243115,1867794352,2131580902,2405683706,2685347509,2965167872,3239162934,3501059851,3744428934,3963029602,4150973015,4303073711,4414979238,4483474488,4506524562,4483474488,4414979238,4303073711,4150973015,3963029602,3744428934,3501059851,3239162934,2965167872,2685347509,2405683706,2131580902,1867794352,1618243115,1386021866,1173312470,981480725,811072459,661963796,533416110,424247195,332906492,257638554,196551551,147746417,109364015,79671756,57079631,40188731,27781759,18839569,12516849,8138860,5170585,3204997,1933853,1133825,643720,353125,186123,94011,45088,20487,8666,3430,1222,403,113,30,6,1"
JpCa?C@?_?_,"0,0,0,0,0,1,8,53,238,865,2641,7215,17676,40287,85705,172780,331592,611142,1084355,1862318,3102055,5027953,7942424,12255549,18494062,27338681,39625231,56382399,78816335,108342716,146537796,195158459,256049727,331142371,422311007,531353469,659796275,808871614,979288379,1171224055,1384090960,1616582831,1866459160,2130684387,2405267690,2685509808,2965917249,3240567643,3503083264,3747094400,3966251688,4154729026,4307228512,4419474393,4488141251,4511280610,4488141251,4419474393,4307228512,4154729026,3966251688,3747094400,3503083264,3240567643,2965917249,2685509808,2405267690,2130684387,1866459160,1616582831,1384090960,1171224055,979288379,808871614,659796275,531353469,422311007,331142371,256049727,195158459,146537796,108342716,78816335,56382399,39625231,27338681,18494062,12255549,7942424,5027953,3102055,1862318,1084355,611142,331592,172780,85705,40287,17676,7215,2641,865,238,53,8,1"
JpCa?C@?_C?,"0,0,0,0,0,1,14,83,342,1139,3325,8653,20608,45759,95607,189616,359620,655644,1153561,1966052,3254543,5245325,8246814,12670493,19050168,28066341,40561927,57561305,80276675,110113116,148650008,197625349,258883553,334326831,425826381,535142479,663797721,812981152,983402413,1175194317,1387780860,1619816181,1869087942,2132531299,2406204612,2685391916,2964670145,3238111555,3499425194,3742241974,3960308036,4147794490,4299496192,4411122475,4479427099,4502426190,4479427099,4411122475,4299496192,4147794490,3960308036,3742241974,3499425194,3238111555,2964670145,2685391916,2406204612,2132531299,1869087942,1619816181,1387780860,1175194317,983402413,812981152,663797721,535142479,425826381,334326831,258883553,197625349,148650008,110113116,80276675,57561305,40561927,28066341,19050168,12670493,8246814,5245325,3254543,1966052,1153561,655644,359620,189616,95607,45759,20608,8653,3325,1139,342,83,14,1"
JpCa?C@?a??,"0,0,0,0,0,1,11,67,284,986,2942,7827,18940,42624,89944,179983,343652,630253,1114269,1907232,3168389,5122778,8075935,12438045,18739960,27661486,40042747,56909726,79472730,109141019,147494630,196279727,257343307,332600727,423927885,533101434,661650274,810781779,981209128,1173084200,1385829574,1618113607,1867715561,2131578823,2405741975,2685490783,2965372700,3239453644,3501406592,3744852961,3963497337,4151503969,4303628898,4415578618,4484076496,4507147082,4484076496,4415578618,4303628898,4151503969,3963497337,3744852961,3501406592,3239453644,2965372700,2685490783,2405741975,2131578823,1867715561,1618113607,1385829574,1173084200,981209128,810781779,661650274,533101434,423927885,332600727,257343307,196279727,147494630,109141019,79472730,56909726,40042747,27661486,18739960,12438045,8075935,5122778,3168389,1907232,1114269,630253,343652,179983,89944,42624,18940,7827,2942,986,284,67,11,1"
