graph6,polynomial
JpCI?C@?G?_,"0,0,0,0,0,1,6,45,205,758,2349,6504,16154,37229,79887,162401,313776,581665,1037333,1789710,2992841,4868445,7715003,11938918,18063109,26764908,38876306,55425481,77617089,106869054,144761389,193059278,253615563,328377494,419233665,528002497,656230121,805172975,975556522,1167583240,1380676914,1613545441,1863950332,2128858302,2404260393,2685446368,2966889024,3242636382,3506266365,3751372386,3971549833,4160938606,4314191956,4427004931,4496020235,4519281222,4496020235,4427004931,4314191956,4160938606,3971549833,3751372386,3506266365,3242636382,2966889024,2685446368,2404260393,2128858302,1863950332,1613545441,1380676914,1167583240,975556522,805172975,656230121,528002497,419233665,328377494,253615563,193059278,144761389,106869054,77617089,55425481,38876306,26764908,18063109,11938918,7715003,4868445,2992841,1789710,1037333,581665,313776,162401,79887,37229,16154,6504,2349,758,205,45,6,1"
JpCI?C@?G@?,"0,0,0,0,0,1,14,63,273,908,2741,7256,17750,40053,85099,171027,328296,604301,1072829,1842262,3070519,4978251,7869409,12148022,18344377,27131060,39349024,56018017,78353047,107758066,145824769,194297276,255041129,329974746,421001319,529902003,658241633,807232237,977624380,1169571348,1382532018,1615162527,1865272986,2129778756,2404734169,2685379936,2966267196,3241395828,3504434871,3748928946,3968571649,4157449864,4310316548,4422804681,4491652095,4514828850,4491652095,4422804681,4310316548,4157449864,3968571649,3748928946,3504434871,3241395828,2966267196,2685379936,2404734169,2129778756,1865272986,1615162527,1382532018,1169571348,977624380,807232237,658241633,529902003,421001319,329974746,255041129,194297276,145824769,107758066,78353047,56018017,39349024,27131060,18344377,12148022,7869409,4978251,3070519,1842262,1072829,604301,328296,171027,85099,40053,17750,7256,2741,908,273,63,14,1"
JpCI?C@?GA?,"0,0,0,0,0,1,8,51,229,834,2545,6954,17112,39085,83365,168505,324138,598561,1064083,1830564,3053853,4956835,7840295,12112124,18297753,27075486,39279952,55938713,78257963,107653108,145703593,194168406,254897997,329829166,420845349,529751713,658087427,807093167,977489424,1169462476,1382434448,1615101587,1865229844,2129779654,2404756907,2685451724,2966360344,3241539336,3504596543,3749137118,3968791597,4157710142,4310578412,4423098167,4491936659,4515133366,4491936659,4423098167,4310578412,4157710142,3968791597,3749137118,3504596543,3241539336,2966360344,2685451724,2404756907,2129779654,1865229844,1615101587,1382434448,1169462476,977489424,807093167,658087427,529751713,420845349,329829166,254897997,194168406,145703593,107653108,78257963,55938713,39279952,27075486,18297753,12112124,7840295,4956835,3053853,1830564,1064083,598561,324138,168505,83365,39085,17112,6954,2545,834,229,51,8,1"
JpCI?C@?GC?,"0,0,0,0,0,1,12,59,257,870,2645,7080,17374,39423,83983,169243,325414,600029,1066357,1833150,3057625,4960893,7846011,12117984,18305647,27083250,39290058,55947979,78269949,107663290,145716511,194178400,254910853,329837526,420856899,529757173,658096349,807094747,977495012,1169459252,1382436512,1615093743,1865228328,2129767676,2404752647,2685436304,2966354322,3241521590,3504589395,3749118208,3968784143,4157690338,4310571166,4423078211,4491929371,4515113482,4491929371,4423078211,4310571166,4157690338,3968784143,3749118208,3504589395,3241521590,2966354322,2685436304,2404752647,2129767676,1865228328,1615093743,1382436512,1169459252,977495012,807094747,658096349,529757173,420856899,329837526,254910853,194178400,145716511,107663290,78269949,55947979,39290058,27083250,18305647,12117984,7846011,4960893,3057625,1833150,1066357,600029,325414,169243,83983,39423,17374,7080,2645,870,257,59,12,1"
JpCI?C@?I??,"0,0,0,0,0,1,10,55,243,856,2603,7034,17284,39323,83781,169069,325062,599709,1065823,1832706,3056833,4960327,7844987,12117316,18304443,27082624,39288652,55947557,78268549,107663108,145715143,194178722,254909533,329838412,420855759,529758553,658095289,807096779,977493836,1169461788,1382435332,1615096603,1865226906,2129770962,2404750875,2685439728,2966352364,3241525132,3504587083,3749122002,3968781485,4157694098,4310568478,4423081999,4491926487,4515117394,4491926487,4423081999,4310568478,4157694098,3968781485,3749122002,3504587083,3241525132,2966352364,2685439728,2404750875,2129770962,1865226906,1615096603,1382435332,1169461788,977493836,807096779,658095289,529758553,420855759,329838412,254909533,194178722,145715143,107663108,78268549,55947557,39288652,27082624,18304443,12117316,7844987,4960327,3056833,1832706,1065823,599709,325062,169069,83781,39323,17284,7034,2603,856,243,55,10,1"
JpCOa?@?G?_,"0,0,0,0,1,4,27,107,401,1233,3493,8822,20861,45801,95364,188434,356979,649799,1143177,1947587,3224801,5198120,8176415,12566593,18904291,27863786,40290967,57203992,79820469,109537960,147946493,196776481,257887130,333174894,424531505,533709757,662260265,811362588,981756338,1173562887,1386238096,1618414665,1867913367,2131638368,2405674407,2685265636,2965011891,3238931399,3500755793,3744055287,3962594217,4150482876,4302540039,4414412377,4482888293,4505930934,4482888293,4414412377,4302540039,4150482876,3962594217,3744055287,3500755793,3238931399,2965011891,2685265636,2405674407,2131638368,1867913367,1618414665,1386238096,1173562887,981756338,811362588,662260265,533709757,424531505,333174894,257887130,196776481,147946493,109537960,79820469,57203992,40290967,27863786,18904291,12566593,8176415,5198120,3224801,1947587,1143177,649799,356979,188434,95364,45801,20861,8822,3493,1233,401,107,27,4,1"
JpCPA?@?G?_,"0,0,0,0,0,1,9,63,264,926,2791,7464,18191,41118,87141,174954,335161,616142,1091942,1872642,3116665,5046988,7968263,12287656,18535740,27388810,39687347,56454259,78902505,108438312,146648084,195276521,256180495,331276164,422454196,531492020,659938168,809000537,979412786,1171325214,1384181351,1616639923,1866499249,2130684865,2405247063,2685444768,2965832076,3240436470,3502934758,3746904233,3966049689,4154490735,4306988497,4419205684,4487880049,4511002102,4487880049,4419205684,4306988497,4154490735,3966049689,3746904233,3502934758,3240436470,2965832076,2685444768,2405247063,2130684865,1866499249,1616639923,1384181351,1171325214,979412786,809000537,659938168,531492020,422454196,331276164,256180495,195276521,146648084,108438312,78902505,56454259,39687347,27388810,18535740,12287656,7968263,5046988,3116665,1872642,1091942,616142,335161,174954,87141,41118,18191,7464,2791,926,264,63,9,1"
JpCSA?@?G?_,"0,0,0,0,1,4,25,91,351,1079,3127,8006,19233,42695,89804,178862,341223,624567,1104249,1889053,3139281,5076012,8006459,12334745,18595257,27459552,39773147,56552748,79017703,108565576,146791671,195429309,256346414,331445456,422630999,531663317,660109119,809155660,979558070,1171443599,1384281256,1616702473,1866536169,2130677108,2405209279,2685358224,2965715579,3240270995,3502742941,3746668055,3965794005,4154198216,4306686981,4418877313,4487554137,4510661610,4487554137,4418877313,4306686981,4154198216,3965794005,3746668055,3502742941,3240270995,2965715579,2685358224,2405209279,2130677108,1866536169,1616702473,1384281256,1171443599,979558070,809155660,660109119,531663317,422630999,331445456,256346414,195429309,146791671,108565576,79017703,56552748,39773147,27459552,18595257,12334745,8006459,5076012,3139281,1889053,1104249,624567,341223,178862,89804,42695,19233,8006,3127,1079,351,91,25,4,1"
JpCQ?C@?G@?,"0,0,0,0,1,4,21,91,341,1087,3141,8080,19375,43049,90390,179980,343009,627527,1108679,1895793,3148763,5089520,8024613,12359115,18626539,27499696,39822495,56613244,79089221,108649610,146887181,195537171,256463902,331572686,422763863,531800671,660245367,809289258,979682038,1171556227,1384375322,1616776505,1866583397,2130697710,2405196869,2685314976,2965637039,3240160955,3502598653,3746496015,3965592693,4153975910,4306443771,4418622283,4487288397,4510395514,4487288397,4418622283,4306443771,4153975910,3965592693,3746496015,3502598653,3240160955,2965637039,2685314976,2405196869,2130697710,1866583397,1616776505,1384375322,1171556227,979682038,809289258,660245367,531800671,422763863,331572686,256463902,195537171,146887181,108649610,79089221,56613244,39822495,27499696,18626539,12359115,8024613,5089520,3148763,1895793,1108679,627527,343009,179980,90390,43049,19375,8080,3141,1087,341,91,21,4,1"
JpCQ?C@?GA?,"0,0,0,0,0,1,13,71,296,994,2943,7746,18729,42012,88659,177344,338857,621626,1099952,1883848,3132165,5067758,7995631,12322808,18580170,27443582,39753893,56533305,78994811,108543958,146767010,195407463,256322179,331426124,422609618,531649268,660093274,809148729,979549594,1171445606,1384280443,1616713431,1866543213,2130695927,2405222759,2685383664,2965733334,3240300976,3502763622,3746700167,3965816019,4154231987,4306708923,4418911380,4487576373,4510695490,4487576373,4418911380,4306708923,4154231987,3965816019,3746700167,3502763622,3240300976,2965733334,2685383664,2405222759,2130695927,1866543213,1616713431,1384280443,1171445606,979549594,809148729,660093274,531649268,422609618,331426124,256322179,195407463,146767010,108543958,78994811,56533305,39753893,27443582,18580170,12322808,7995631,5067758,3132165,1883848,1099952,621626,338857,177344,88659,42012,18729,7746,2943,994,296,71,13,1"
