graph6,polynomial
IpCI?C@?G,"0,0,0,0,0,2,18,80,314,966,2656,6472,14580,30494,60286,113156,203374,351290,585792,945672,1481820,2259088,3356172,4867560,6899832,9572294,13007264,17331618,22657730,29087848,36686634,45489938,55471330,66562166,78610470,91420248,104707662,118156750,131377498,143981770,155535870,165655286,173950504,180127082,183925014,185215690,183925014,180127082,173950504,165655286,155535870,143981770,131377498,118156750,104707662,91420248,78610470,66562166,55471330,45489938,36686634,29087848,22657730,17331618,13007264,9572294,6899832,4867560,3356172,2259088,1481820,945672,585792,351290,203374,113156,60286,30494,14580,6472,2656,966,314,80,18,2"
IpCQ?C@?G,"0,0,0,0,1,4,26,107,380,1111,2963,7032,15617,32229,63172,117610,210270,361212,600164,965212,1508468,2293469,3400606,4921955,6966614,9649978,13097711,17431268,22767523,29201359,36803869,45601546,55576688,66649828,78680219,91459644,104718752,118127775,131314056,143874682,155395325,165475339,173746176,179895376,183684445,184965328,183684445,179895376,173746176,165475339,155395325,143874682,131314056,118127775,104718752,91459644,78680219,66649828,55576688,45601546,36803869,29201359,22767523,17431268,13097711,9649978,6966614,4921955,3400606,2293469,1508468,965212,600164,361212,210270,117610,63172,32229,15617,7032,2963,1111,380,107,26,4,1"
IpCQ?C@?O,"0,0,0,0,0,8,32,142,440,1282,3258,7646,16636,34072,66030,122250,217112,371418,614438,985146,1534918,2328370,3444676,4976954,7032784,9728336,13187200,17531642,22875954,29315644,36919348,45714026,55679932,66738598,78747632,91500478,104727466,118100728,131248330,143770074,155252696,165298372,173539994,179667006,183442144,184718466,183442144,179667006,173539994,165298372,155252696,143770074,131248330,118100728,104727466,91500478,78747632,66738598,55679932,45714026,36919348,29315644,22875954,17531642,13187200,9728336,7032784,4976954,3444676,2328370,1534918,985146,614438,371418,217112,122250,66030,34072,16636,7646,3258,1282,440,142,32,8"
IpCa?C@?G,"0,0,0,0,0,2,19,93,343,1049,2832,6846,15249,31740,62348,116536,208596,359215,597202,961836,1503824,2288397,3393974,4915213,6958046,9641882,13087898,17422622,22757381,29193647,36794746,45596113,55570233,66648011,78677496,91462628,104720364,118135804,131320364,143887263,155405578,165491889,173759174,179914342,183699153,184984994,183699153,179914342,173759174,165491889,155405578,143887263,131320364,118135804,104720364,91462628,78677496,66648011,55570233,45596113,36794746,29193647,22757381,17422622,13087898,9641882,6958046,4915213,3393974,2288397,1503824,961836,597202,359215,208596,116536,62348,31740,15249,6846,2832,1049,343,93,19,2"
IpCa?C@?O,"0,0,0,0,1,6,31,122,419,1202,3157,7428,16324,33511,65302,121048,215586,369237,611698,981486,1530616,2322878,3438520,4969674,7024862,9719520,13178259,17522052,22866900,29306800,36911531,45707215,55675061,66735107,78746713,91501582,104731068,118106635,131256866,143780289,155265321,165312452,173555422,179683412,183459388,184735488,183459388,179683412,173555422,165312452,155265321,143780289,131256866,118106635,104731068,91501582,78746713,66735107,55675061,45707215,36911531,29306800,22866900,17522052,13178259,9719520,7024862,4969674,3438520,2322878,1530616,981486,611698,369237,215586,121048,65302,33511,16324,7428,3157,1202,419,122,31,6,1"
IpCa?C@?_,"0,0,0,0,0,2,20,102,370,1126,3004,7206,15918,32970,64410,119906,213832,367144,608656,978018,1525884,2317746,3431830,4962876,7016296,9711424,13168462,17513472,22856818,29299144,36902522,45701864,55668684,66733416,78744058,91504610,104732772,118114702,131263190,143792944,155275570,165328992,173568454,179702358,183474070,184755206,183474070,179702358,173568454,165328992,155275570,143792944,131263190,118114702,104732772,91504610,78744058,66733416,55668684,45701864,36902522,29299144,22856818,17513472,13168462,9711424,7016296,4962876,3431830,2317746,1525884,978018,608656,367144,213832,119906,64410,32970,15918,7206,3004,1126,370,102,20,2"
IpEA?C@?G,"0,0,0,0,1,4,26,99,368,1071,2895,6900,15401,31849,62624,116742,209062,359512,597904,962232,1504768,2288821,3395122,4915551,6959374,9641974,13089251,17422384,22758699,29192847,36796005,45594786,55571376,66646144,78678587,91460264,104721540,118133043,131321604,143884354,155406957,165488739,173760736,179911168,183700745,184981832,183700745,179911168,173760736,165488739,155406957,143884354,131321604,118133043,104721540,91460264,78678587,66646144,55571376,45594786,36796005,29192847,22758699,17422384,13089251,9641974,6959374,4915551,3395122,2288821,1504768,962232,597904,359512,209062,116742,62624,31849,15401,6900,2895,1071,368,99,26,4,1"
IpEA?C@?O,"0,0,0,0,0,6,28,128,418,1224,3170,7482,16378,33638,65422,121306,215828,369624,612090,982078,1531140,2323638,3439144,4970506,7025526,9720332,13178774,17522800,22867202,29307200,36911570,45707370,55674720,66734998,78746088,91501178,104730302,118106052,131255916,143779786,155264340,165311782,173554532,179682814,183458432,184734966,183458432,179682814,173554532,165311782,155264340,143779786,131255916,118106052,104730302,91501178,78746088,66734998,55674720,45707370,36911570,29307200,22867202,17522800,13178774,9720332,7025526,4970506,3439144,2323638,1531140,982078,612090,369624,215828,121306,65422,33638,16378,7482,3170,1224,418,128,28,6"
IpEA?C@?_,"0,0,0,0,1,6,31,120,413,1186,3119,7350,16192,33265,64918,120444,214686,367933,609924,979098,1527552,2318996,3433800,4964082,7018448,9712310,13170489,17513858,22858562,29298614,36903893,45700477,55669577,66731161,78744607,91501566,104733222,118111075,131263568,143789153,155276061,165324876,173569174,179698256,183474808,184751148,183474808,179698256,173569174,165324876,155276061,143789153,131263568,118111075,104733222,91501566,78744607,66731161,55669577,45700477,36903893,29298614,22858562,17513858,13170489,9712310,7018448,4964082,3433800,2318996,1527552,979098,609924,367933,214686,120444,64918,33265,16192,7350,3119,1186,413,120,31,6,1"
IpEA?C@O?,"0,0,0,0,0,4,24,106,380,1126,3002,7166,15872,32780,64174,119394,213168,365918,607206,975690,1523218,2313802,3427548,4957018,7010356,9703616,13161108,17504382,22848898,29289572,36895376,45693442,55663788,66727542,78742832,91502558,104736290,118117088,131271686,143800050,155288624,165339712,173585022,179715726,183492448,184769466,183492448,179715726,173585022,165339712,155288624,143800050,131271686,118117088,104736290,91502558,78742832,66727542,55663788,45693442,36895376,29289572,22848898,17504382,13161108,9703616,7010356,4957018,3427548,2313802,1523218,975690,607206,365918,213168,119394,64174,32780,15872,7166,3002,1126,380,106,24,4"
