graph6,mean,variance_key,n,m,degree_sequence,leaves,max_degree,diameter,radius
SpCGGG_O??_@?@??_?_?@?C???G??G??O,1.0665335070945086e+23,3.694092914557426e+46,20,19,"(3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,3,11,6
SpCGGG__??g??@??_?G?@??C??_?G???C,1.0665335070945086e+23,3.694092914557426e+46,20,19,"(3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,3,12,6
