graph6,polynomial
HpD?GC@,"0,0,0,0,1,5,34,127,407,1075,2614,5661,11573,22050,40046,69113,114706,182729,281541,419217,606204,850909,1163235,1548487,2012054,2551367,3163122,3833469,4547653,5280025,6006292,6692482,7310846,7827366,8219062,8461410,8545180,8461410,8219062,7827366,7310846,6692482,6006292,5280025,4547653,3833469,3163122,2551367,2012054,1548487,1163235,850909,606204,419217,281541,182729,114706,69113,40046,22050,11573,5661,2614,1075,407,127,34,5,1"
HpD?GCA,"0,0,0,0,1,11,42,159,457,1201,2804,6037,12117,22978,41308,71031,117162,186147,285633,424475,612068,857887,1170381,1556315,2019212,2558397,3168310,3837543,4548741,5279207,6001722,6685776,7300382,7815330,8204122,8446218,8528596,8446218,8204122,7815330,7300382,6685776,6001722,5279207,4548741,3837543,3168310,2558397,2019212,1556315,1170381,857887,612068,424475,285633,186147,117162,71031,41308,22978,12117,6037,2804,1201,457,159,42,11,1"
HpD?GCC,"0,0,0,0,1,7,38,141,439,1149,2748,5915,11983,22738,41066,70617,116784,185561,285113,423743,611522,857061,1169913,1555595,2018934,2557891,3168428,3837295,4549273,5279365,6002610,6686248,7301656,7815954,8205606,8447032,8530092,8447032,8205606,7815954,7301656,6686248,6002610,5279365,4549273,3837295,3168428,2557891,2018934,1555595,1169913,857061,611522,423743,285113,185561,116784,70617,41066,22738,11983,5915,2748,1149,439,141,38,7,1"
HpD?GD?,"0,0,0,0,1,9,40,149,445,1169,2762,5953,12013,22796,41100,70713,116810,185655,285149,423847,611492,857181,1169839,1555677,2018838,2557961,3168248,3837415,4549041,5279441,6002430,6686346,7301384,7816126,8205346,8447154,8529884,8447154,8205346,7816126,7301384,6686346,6002430,5279441,4549041,3837415,3168248,2557961,2018838,1555677,1169839,857181,611492,423847,285149,185655,116810,70713,41100,22796,12013,5953,2762,1169,445,149,40,9,1"
HpGa?C@,"0,0,0,1,3,20,63,216,568,1436,3207,6754,13242,24770,43898,74760,122178,192837,293960,434800,624033,871559,1185009,1571665,2033928,2572081,3179230,3845184,4551523,5277029,5993188,6671725,7280134,7790456,8174933,8415059,8496046,8415059,8174933,7790456,7280134,6671725,5993188,5277029,4551523,3845184,3179230,2572081,2033928,1571665,1185009,871559,624033,434800,293960,192837,122178,74760,43898,24770,13242,6754,3207,1436,568,216,63,20,3,1"
HpIA?C@,"0,0,0,0,1,8,45,157,473,1235,2887,6184,12415,23447,42093,72179,118850,188415,288695,428280,616749,863258,1176450,1562671,2025695,2564376,3173513,3841211,4550669,5278753,5998874,6680148,7292334,7804875,8192083,8432915,8515068,8432915,8192083,7804875,7292334,6680148,5998874,5278753,4550669,3841211,3173513,2564376,2025695,1562671,1176450,863258,616749,428280,288695,188415,118850,72179,42093,23447,12415,6184,2887,1235,473,157,45,8,1"
HpH?GCA,"0,0,0,1,3,16,55,190,514,1328,3011,6408,12688,23894,42608,72930,119668,189523,289784,429656,617995,864753,1177597,1563985,2026450,2565231,3173604,3841400,4549975,5278179,5997348,6678873,7290176,7803116,8189481,8430869,8512326,8430869,8189481,7803116,7290176,6678873,5997348,5278179,4549975,3841400,3173604,2565231,2026450,1563985,1177597,864753,617995,429656,289784,189523,119668,72930,42608,23894,12688,6408,3011,1328,514,190,55,16,3,1"
HpH?GCC,"0,0,0,0,1,10,47,169,491,1267,2945,6278,12545,23649,42355,72511,119280,188941,289263,428936,617447,863938,1177128,1563289,2026171,2564750,3173709,3841175,4550493,5278361,5998222,6679366,7291426,7803763,8190939,8431709,8513796,8431709,8190939,7803763,7291426,6679366,5998222,5278361,4550493,3841175,3173709,2564750,2026171,1563289,1177128,863938,617447,428936,289263,188941,119280,72511,42355,23649,12545,6278,2945,1267,491,169,47,10,1"
HpH?GD?,"0,0,0,1,3,18,53,192,510,1316,2985,6372,12608,23784,42436,72708,119348,189147,289316,429156,617395,864163,1176983,1563459,2025944,2564895,3173358,3841372,4550043,5278517,5997812,6679567,7290902,7804052,8190433,8431953,8513342,8431953,8190433,7804052,7290902,6679567,5997812,5278517,4550043,3841372,3173358,2564895,2025944,1563459,1176983,864163,617395,429156,289316,189147,119348,72708,42436,23784,12608,6372,2985,1316,510,192,53,18,3,1"
HpH?GGC,"0,0,0,0,5,18,79,237,631,1543,3431,7098,13853,25651,45257,76605,124768,196131,298229,439844,630081,878214,1192358,1579059,2041319,2578570,3184707,3848655,4553017,5275633,5989178,6664482,7270394,7777949,8160837,8399463,8480352,8399463,8160837,7777949,7270394,6664482,5989178,5275633,4553017,3848655,3184707,2578570,2041319,1579059,1192358,878214,630081,439844,298229,196131,124768,76605,45257,25651,13853,7098,3431,1543,631,237,79,18,5"
